"Title","Output per Worker: Whole Economy SA: Index 2019=100: UK","Output per Worker: Whole Economy: % change per annum SA: UK","Output per Worker: Whole Economy: % change quarter on previous quarter SA: UK","Whole Economy index of LFS Employment: SA % change on Q","Whole Economy index of LFS Employment: SA % change on Y","Output per hour: Ag, forestry and fishing A SIC07, 2019=100, SA, UK","Output per hour: Ag, forestry and fishing A SIC07, % change on Y, SA, UK","Output per hour: Production B-E SIC07, 2019=100, SA, UK","Output per hour: Production B-E SIC07, % change on Q, SA, UK","Output per hour: Production B-E SIC07, % change on Y, SA, UK","Output per hour: Manufacturing C SIC07, 2019=100, SA, UK","Output per hour: Manufacturing C SIC07, % change on Q, SA, UK","Output per hour: Manufacturing C SIC07, % change on Y, SA, UK","Output per hour: Construction F SIC07, 2019=100, SA, UK","Output per hour: Construction F SIC07, % change on Y, SA, UK","Output per hour: Wholesale & retail services G SIC07, 2019=100, SA, UK","Output per hour: Wholesale & retail services G SIC07, % change on Q, SA, UK","Output per hour: Wholesale & retail services G SIC07, % change on Y, SA, UK","Output per hour: Transport & storage services H SIC07, 2019=100, SA, UK","Output per hour: Transport & storage services H SIC07, % change on Q, SA, UK","Output per hour: Transport & storage services H SIC07, % change on Y, SA, UK","Output per hour: Acco and food services I SIC07, 2019=100, SA, UK","Output per hour: Acco and food services I SIC07, % change on Q, SA, UK","Output per hour: Acco and food services I SIC07, % change on Y, SA, UK","Output per hour: Info & comms services J SIC07, 2019=100, SA, UK","Output per hour: Info & comms services J SIC07, % change on Q, SA, UK","Output per hour: Info & comms services J SIC07, % change on Y, SA, UK","Output per hour: Finance & insurance services K SIC07, 2019=100, SA, UK","Output per hour: Finance & insurance services K SIC07, % change on Q, SA, UK","Output per hour: Finance & insurance services K SIC07, % change on Y, SA, UK","Output per hour: Professional services M SIC07, 2019=100, SA, UK","Output per hour: Professional services M SIC07, % change on Q, SA, UK","Output per hour: Professional services M SIC07, % change on Y, SA, UK","Output per hour: Admin & support services N SIC07, 2019=100, SA, UK","Output per hour: Admin & support services N SIC07, % change on Q, SA, UK","Output per hour: Admin & support services N SIC07, % change on Y, SA, UK","Output per hour: Government services O-Q SIC07, 2019=100, SA, UK","Output per hour: Government services O-Q SIC07, % change on Q, SA, UK","Output per hour: Government services O-Q SIC07, % change on Y, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, 2019=100, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, % change on Q, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, % change on Y, SA, UK","Output per hour: Other services S SIC07, 2019=100, SA, UK","Output per hour: Other services S SIC07, % change on Q, SA, UK","Output per hour: Other services S SIC07, % change on Y, SA, UK","Productivity hours: Production B-E SIC07, 2019=100, SA, UK","Productivity hours: Production B-E SIC07, % change on Q, SA, UK","Productivity hours: Production B-E SIC07, % change on Y, SA, UK","Productivity hours: Manufacturing C SIC07, 2019=100, SA, UK","Productivity hours: Manufacturing C SIC07, % change on Q, SA, UK","Productivity hours: Manufacturing C SIC07, % change on Y, SA, UK","Productivity hours: Services G-T SIC07, 2019=100, SA, UK","Productivity hours: Services G-T SIC07, % change on Q, SA, UK","Productivity hours: Services G-T SIC07, % change on Y, SA, UK","Output per Job : Whole Economy : % change quarter on previous quarter SA:UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, 2019=100, SA, UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, % change on Q, SA, UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, % change on Y, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, 2019=100, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, % change on Q, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, % change on Y, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, 2019=100, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, % change on Q, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, % change on Y, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, 2019=100, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, % change on Q, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, % change on Y, SA, UK","Productivity jobs. Whole Economy SA: Index 2019=100: UK","Output per Filled Job : Whole Economy SA: Index 2019=100: UK","Productivity jobs: whole economy: % change per annum: SA: UK","Output per filled job: Whole economy: % change per annum SA: UK","UK Whole Economy: Productivity hours SA: Index 2019 = 100","UK Whole Economy: Output per hour worked SA: Index 2019 = 100","UK Whole Economy: Productivity hours % change per annum SA","UK Whole Economy: Output per hour worked % change per annum SA","Productivity Jobs:Whole Economy: % change quarter on previous quarter SA:UK","UK Whole Economy: Output per hour worked % change quarter on previous quarter SA","UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA","Whole Economy index of LFS Employment: SA 2019=100","Ratio of Whole economy jobs to Whole economy workers: SA"
"CDID","A4YM","A4YN","A4YO","DIW8","DIW9","DJJ9","DJK2","DJK3","DJK4","DJK5","DJK6","DJK7","DJK8","DJP6","DJP8","DJQ4","DJQ5","DJQ6","DJQ7","DJQ8","DJQ9","DJR2","DJR3","DJR4","DJR5","DJR6","DJR7","DJS3","DJS4","DJS5","DJS9","DJT2","DJT6","DJT7","DJT8","DJT9","DJU2","DJU6","DJU7","DJV6","DJV7","DJV8","DJV9","DJW2","DJW3","DK3S","DK3T","DK3U","DK3V","DK3Y","DK44","DK56","DK57","DK58","DMWR","JNJY","JNJZ","JNK5","JNK8","JNKA","JNKB","JNKC","JNLH","JNSR","JNSS","JNST","JNSU","LNNM","LNNN","LNNO","LNNP","LZVA","LZVB","LZVC","LZVD","TXAJ","TXBB","TXBU","TXEL","TXET"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","Index, base year = 100","%","%","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","%","","","","","","","","","","","","","Index, base year = 100","Index, base year = 100","%","%","Index, base year = 100","Index, base year = 100","%","%","%","%","%","Index, base year = 100",""
"Release Date","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024","15-02-2024"
"Next release","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced","To be announced"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","34.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.3","34.5","","","","","","","","","","73.6","99.5"
"1961","34.9","1.6","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.1","35.1","1.1","1.7","","","","","","","","74.5","99.4"
"1962","35.2","0.8","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5","35.4","0.5","0.7","","","","","","","","74.9","99.4"
"1963","36.9","5.0","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7","37.1","0.3","4.9","","","","","","","","75.1","99.4"
"1964","38.5","4.3","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","38.7","1.4","4.3","","","","","","","","76.1","99.5"
