"Title","Public Sector Employment by Sector; Central Gov; UK; HC; NSA; Thousands","Public Sector Employment by Sector; Local Gov; UK; HC; NSA; Thousands","Public Sector Employment by Sector; Total General Gov; UK; HC; NSA; Thousands","Public Sector Employment by Sector; Total Public Corps; UK; HC; NSA; Thousands","Public Sector Employment by Sector; Total Public Sector; UK; HC; NSA; Thousands","Public Sector Employment by Sector; Civil Service; GB; HC; NSA; Thousands","Public Sector Employment by Sector; Central Gov; UK; FTE; NSA; Thousands","Public Sector Employment by Sector; Local Gov; UK; FTE; NSA; Thousands","Public Sector Employment by Sector; Total General Gov; UK; FTE; NSA; Thousands","Public Sector Employment by Sector; Total Public Corps; UK; FTE; NSA; Thousands","Public Sector Employment by Sector; Total Public Sector; UK; FTE; NSA; Thousands","Public Sector Employment by Sector; Civil Service; GB; FTE; NSA; Thousands","Public Sector Employment by Industry; Construction; UK; HC; NSA; Thousands","Public Sector Employment by Industry; HM Forces; UK; HC; NSA; Thousands","Public Sector Employment by Industry; Police; UK; HC; NSA; Thousands","Public Sector Employment by Industry; Public Admin; UK; HC; NSA; Thousands","Public Sector Employment by Industry; Education; UK; HC; NSA; Thousands","Public Sector Employment by Industry; NHS; UK; HC; NSA; Thousands","Public Sector Employment by Industry; Other Health & Social; UK;HC;NSA;Thousands","Public Sector Employment by Industry; Other Public Sector; UK; HC; NSA;Thousands","Public Sector Employment by Industry; HM Forces; UK; FTE; NSA; Thousands","Public Sector Employment by Industry; Police; UK; FTE; NSA; Thousands","Public Sector Employment by Industry; Public Admin; UK; FTE; NSA; Thousands","Public Sector Employment by Industry; Education; UK; FTE; NSA; Thousands","Public Sector Employment by Industry; NHS; UK; FTE; NSA; Thousands","Public Sector Employment by Industry; Other Health & Social;UK;FTE;NSA;Thousands","Public Sector Employment by Industry; Other Public Sector; UK; FTE NSA;Thousands","Private Sector Employment: UK; HC; NSA; Thousands","Total employment (LFS);UK; HC; NSA; Thousands","Public sector employment as % of total employment; UK; HC; NSA; percentage","Private sector employment as % of total employment; UK; HC; NSA; Percentage","Public Sector Employment by Sector; Central Gov; UK; HC; SA; Thousands","Public Sector Employment by Sector; Local Gov; UK ;HC; SA; Thousands","Public Sector Employment by Sector; Total General Gov; UK; HC; SA; Thousands","Public Sector Employment for Sector; Total Public Corp; HC; SA; Thousands","Public Sector Employment by Sector; Total Public Sector; UK; HC; SA; Thousands","Public Sector Employment by Sector; Civil Service; GB; HC; SA; Thousands","Public Sector Employment by Industry;Construction;UK;HC;SA; Thousands","Public Sector Employment by Industry;HM Forces;UK;HC;SA;Thousands","Public Sector Employment by Industry;Police;UK;HC;SA;Thousands","Public Sector Employment by Industry;Public Admin:UK;HC;SA;Thousands","Public Sector Employment by Industry;Education:UK;HC;SA;Thousands.","Public Sector Employment by Industry;NHS;UK;HC;SA;Thousands","Public Sector Employment by Industry: Other Health & Social;UK;HC;SA;Thousands","Public Sector Employment by Industry;Other Public Sector;UK;HC;SA;Thousands","Public Sector Employment by Sector;Central Gov;UK;FTE;SA;Thousands","Public Sector Employment by Sector;Local Gov;UK;FTE;SA;Thousands","Public Sector Employment by Sector;Total General Gov;UK;FTE;SA;Thousands","Public Sector Employment by Sector;Total Public Corps;UK;FTE;SAThousands","Public Sector Employment by Sector; Total Public Sector; UK; FTE; SA;Thousands","Public Sector Employment by Sector; Civil Service; GB; FTE; SA; Thousands","Public Sector Employment by Industry; HM Forces; UK; FTE; SA; Thousands","Public Sector Employment by Industry; Police; UK; FTE; SA; Thousands","Public Sector Employment by Industry; Public Adm;UK;FTE;SA;Thousands","Public Sector Employment by Sector;Education;UK;FTE;SA;Thousands","Public Sector Employment by Industry; NHS; UK; FTE; SA; Thousands","Total employment (LFS); UK; HC; SA; Thousands","Public Sector Employment by Industry;Other Health&Social;UK;FTE;SA;Thousands","Public Sector Employment by Industry; Other Public Sector; UK; FTE;SA;Thousands","Private Sector Employment: UK; HC; SA; Thousands","Public Sector Employment as % of Total Employment;UK;HC;SA;Percentage","Private Sector Employment as % of Total Employment;UK;HC;SA;Percentage","Public Sector Employment excl major reclassifications; UK; HC; NSA; Thousands","Public Sector Employment excl major reclassifications; UK; HC; NSA; Percentage","Private Sector Employment excl major reclassifications: UK; HC; NSA; Thousands","Private Sector Employment excl major reclassifications; UK;HC;NSA;Percentage","Private Sector Employment excl major reclassifications; UK;HC;SA;Percentage","Public Sector Employment excl major reclassifications; UK; HC; SA; Thousands","Public Sector Employment excl major reclassifications; UK; HC; SA; Percentage","Private Sector Employment excl major reclassifications: UK; HC; SA; Thousands"
"CDID","C9K9","C9KA","C9KB","C9KC","C9KD","C9KE","C9KL","C9KM","C9KN","C9KO","C9KP","C9KQ","C9LA","C9LB","C9LC","C9LD","C9LF","C9LG","C9LH","C9LJ","C9LL","C9LM","C9LN","C9LP","C9LQ","C9LR","C9LT","CZG8","CZG9","DB36","DB37","G6NQ","G6NT","G6NW","G7AR","G7AU","G7D6","G7ER","G7EU","G7EX","G7F2","G7F5","G7FG","G7FJ","G7FM","G7FP","G7FS","G7FV","G7FY","G7G3","G7G6","G7G9","G7GC","G7GF","G7GI","G7GL","G7GO","G7GR","G7K2","G7K5","G9BZ","G9C2","MFX9","MFY2","MFY3","MFY4","MFY5","MFY7","MFY9","MFZ2"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","%","%","000's","000's","","","000's","","","","","","","","","","000's","000's","","","000's","","","","","","","","","","","%","%","","%","","%","%","","%",""
"Release Date","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023","13-06-2023"
"Next release","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023","12 September 2023"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991","2333","3070","5403","582","5985","593","","","","","","","182","311","224","1292","1325","1220","432","999","","","","","","","","","","","","","","","","","593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1992","2348","3018","5366","544","5910","609","","","","","","","166","304","226","1300","1302","1225","428","958","","","","","","","","19653","25563","23.1","76.9","","","","","","609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1993","2529","2787","5316","515","5830","601","","","","","","","153","285","228","1263","1371","1204","414","913","","","","","","","","19484","25314","23.0","77.0","","","","","","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1994","2470","2752","5222","446","5668","578","","","","","","","146","262","228","1229","1347","1189","423","843","","","","","","","","19869","25537","22.2","77.8","","","","","","578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1995","2417","2757","5174","433","5607","555","","","","","","","140","241","227","1198","1369","1193","426","812","","","","","","","","20205","25812","21.7","78.3","","","","","","555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1996","2379","2732","5111","395","5506","538","","","","","","","129","230","230","1186","1365","1197","420","750","","","","","","","","20519","26025","21.2","78.8","","","","","","538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
