"Title","UKProdTO: 10.5 - Manufacture of dairy products EXPORT (£m)","UKProdTO: 10.5 - Manufacture of dairy products HOME (£m)","UKProdTO: 31 - Manufacture of Furniture TOTAL (£m)","UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats EXPORT (£m)","UKProdTO: 10.7 - Manufacture of bakery and farinaceous products HOME (£m)","UKProdTO: 32 - Other manufactured goods TOTAL (£m)","UKProdTO: 10.7 - Manufacture of bakery and farinaceous products TOTAL (£m)","UKProdTO: 10.9 - Manufacture of prepared animal feeds EXPORT (£m)","UKProdTO: 10.5 - Manufacture of dairy products TOTAL (£m)","UKProdTO: 32 - Other manufactured goods EXPORT (£m)","UKProdTO: 10.7 - Manufacture of bakery and farinaceous products EXPORT (£m)","UKProdTO: 32 - Other manufactured goods HOME (£m)","UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats TOTAL (£m)","UKProdTO: 10.8 - Manufacture of other food products TOTAL (£m)","UKProdTO: 10.8 - Manufacture of other food products EXPORT (£m)","UKProdTO: 10.9 - Manufacture of prepared animal feeds HOME (£m)","UKProdTO: 10.8 - Manufacture of other food products HOME (£m)","UKProdTO: 10.9 - Manufacture of prepared animal feeds TOTAL (£m)","UKProdTO: 11.07 - Mfr soft drinks: prodn mineral/other bottled water EXPORT (£m)","UKProdTO: 27 - Manufacture of Electrical Equipment HOME (£m)","UKProdTO: 11.07 - Manuf soft drinks: prodn mineral/other bottled water HOME (£m)","UKProdTO: 27 - Manufacture of Electrical Equipment EXPORT (£m)","UKProdTO: 11.07 - Mfr soft drinks: prodn mineral/other bottled water TOTAL (£m)","GBServTO: 68.3 - Real estate activities on a fee or contract basis TOTAL (£m)","GBServTO: 69.1 - Legal activities TOTAL (£m)","GBServTO: 63 - Information services TOTAL (£m)","GBServTO: 71 - Architcture/engineerng serv; technical testng/analysis TOTAL (£m)","UKProdTO: 30OTHER - Manufacture of other transport equipment TOTAL (£m)","GBServTO: 73 - Advertising & market research services TOTAL (£m)","GBServTO: 80 - Security & investigation services TOTAL (£m)","GBServTO: 69.2 - Accountng bookkeepng auditing activ: tax consultancy TOTAL (£m)","UKProdTO: 30OTHER - Manufacture of other transport equipment EXPORT (£m)","GBServTO: 70.2 - Management consulting services TOTAL (£m)","UKProdTO: 30OTHER - Manufacture of other transport equipment HOME (£m)","GBServTO: 74 - Other professional, scientific and technical services TOTAL (£m","UKProdTO: 31 - Manufacture of Furniture EXPORT (£m)","GBServTO: 78 - Employment services TOTAL (£m)","UKProdTO: 31 - Manufacture of Furniture HOME (£m)","GBServTO: 81.2 - Cleaning activities TOTAL (£m)","GBServTO: 82 - Office admin, office support & other business support TOTAL (£m","GBServTO: 79 - Travel agency, tour operator/oth reservation services TOTAL (£m","UKManufTO: 10-33 - UK Manufacturing TOTAL (£m)","GBServTO: 45-96 - GB Services TOTAL (£m)","UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products EXPORT (£m","UKProdTO: 10.1 - Processing/preserving of meat, prodn of meat products HOME (£","UKProdTO: 07-08 - Other mining & quarrying TOTAL (£m)","UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products TOTAL (£m)","UKProdTO: 10.2-3 - Prcessin/preserv fish crustacean mollusc fruit veg TOTAL (£m)","UKProdTO: 10.2-3 - Process/preserv fish crustacean mollusc fruit veg EXPORT (£m)","UKProdTO: 10.2-3 - Prcessng/preserv fish crustacean mollusc fruit veg HOME (£m)","UKProdTO: 18 - Printing & reproduction of recorded media HOME (£m)","UKProdTO: 20.4 - Manuf soap/detergents, cleaning/polishing, perfume TOTAL (£m)","UKProdTO: 18 - Printing & reproduction of recorded media TOTAL (£m)","UKProdTO: 20.5 - Manufacture of other chemical products EXPORT (£m)","UKProdTO: 18 - Printing & reproduction of recorded media EXPORT (£m)","UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers EXPORT (£m)","UKProdTO: 33.15 - Repair & maintenance of ships and boats TOTAL (£m)","UKProdTO: 20.3 - Mfr paint varnish & similar, printing ink & mastics EXPORT (£","UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers HOME (£m)","UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft EXPORT (£m)","UKProdTO: 20.5 - Manufacture of other chemical products HOME (£m)","UKProdTO: 33.15 - Repair & maintenance of ships and boats EXPORT (£m)","UKProdTO: 20.5 - Manufacture of other chemical products TOTAL (£m)","UKProdTO: 33.15 - Repair & maintenance of ships and boats HOME (£m)","UKProdTO: 20.4 - Manuf soap/detergents, cleaning/polishing, perfume EXPORT (£m","UKProdTO: 20.4 - Manuf of soap/detergents, cleaning/polishing, perfume HOME (£","UKProdTO: 20.3 - Manuf paint varnish & similar, printing ink & mastics HOME (£","UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers TOTAL (£m)","UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft HOME (£m)","UKProdTO: 20.3 - Mfr paint varnish & similar, printing ink & mastics TOTAL (£m","UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals EXPORT (£m)","UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals TOTAL (£m)","GBServTO: 85.32-60 - Techncal/vocational/secndry/higher/oth education TOTAL (£m)","UKProdTO: 20B - Manufacture of petrochemicals EXPORT (£m)","GBServTO: 53 - Postal and courier services TOTAL (£m)","UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals HOME (£m)","UKProdTO: 20B - Manufacture of petrochemicals HOME (£m)","UKProdTO: 20B - Manufacture of petrochemicals TOTAL (£m)","UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations HOME (£m)","UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations TOTAL (£m)","UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations EXPORT (£m)","UKProdTO: 22 - Manufacture of Rubber and Plastic Products TOTAL (£m)","UKProdTO: 22 - Manufacture of Rubber and Plastic Products EXPORT (£m)","UKProdTO: 22 - Manufacture of Rubber and Plastic Products HOME (£m)","UKProdTO: 13 - Manufacture of textiles EXPORT (£m)","UKProdTO: 14 - Manufacture of wearing apparel HOME (£m)","UKProdTO: 14 - Manufacture of wearing apparel TOTAL (£m)","UKProdTO: 13 - Manufacture of textiles HOME (£m)","GBServTO: 77 - Rental & leasing services TOTAL (£m)","UKProdTO: 13 - Manufacture of textiles TOTAL (£m)","UKProdTO: 14 - Manufacture of wearing apparel EXPORT (£m)","UKProdTO: 15 - Manufacture of Leather and related products TOTAL (£m)","UKProdTO: 29 - Manuf of Motor vehicles, trailers & semi trailers EXPORT (£m)","UKProdTO: 29 - Manufacture of Motor vehicles, trailers & semi trailers HOME (£","UKProdTO: 15 - Manufacture of Leather and related products EXPORT (£m)","UKProdTO: 15 - Manufacture of Leather and related products HOME (£m)","UKProdTO: 29 - Manuf of Motor vehicles, trailers & semi trailers TOTAL (£m)","UKProdTO: 16 - Mfr Wood/cork prods excl. frniture; articles of straw EXPORT (£m)","UKProdTO: 27 - Manufacture of Electrical Equipment TOTAL (£m)","UKProdTO: 16 - Mfr Wood/cork prods excl. furniture; articles of straw HOME (£m)","GBServTO: 75 - Veterinary activities TOTAL (£m)","GBServTO: 72 - Scientific research & development services TOTAL (£m)","UKProdTO: 16 - Mfr Wood/cork prods excl. furniture; articles of straw TOTAL (£m)","UKProdTO: 17 - Manufacture of Paper & paper products TOTAL (£m)","UKProdTO: 17 - Manufacture of Paper & paper products EXPORT (£m)","UKProdTO: 17 - Manufacture of Paper & paper products HOME (£m)","UKProdTO: 33OTHER - Other repair; installation & maintenance TOTAL (£m)","UKProdTO: 25.4 - Manufacture of weapons and ammunition HOME (£m)","UKProdTO: 25.4 - Manufacture of weapons and ammunition TOTAL (£m)","UKProdTO: 30.1 - Building of ships and boats EXPORT (£m)","UKProdTO: 37 - Sewerage services; sewage sludge TOTAL (£m)","UKProdTO: 25.4 - Manufacture of weapons and ammunition EXPORT (£m)","UKProdTO: 30.1 - Building of ships and boats HOME (£m)","UKProdTO: 30.1 - Building of ships and boats TOTAL (£m)","UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. EXPORT (£m)","UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. HOME (£m)","UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. TOTAL (£m)","GBServTO: 86 - Human health services TOTAL (£m)","UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cement/plast HOME (£m)","UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cement/plast TOTAL (£m)","UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft TOTAL (£m)","UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cment/plast EXPORT (£m)","UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods EXPORT (£m)","UKProdTO: 33OTHER - Other repair; installation & maintenance EXPORT (£m)","UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods HOME (£m)","UKProdTO: 38-39 - Waste cllectn/disposal, Remediation, oth waste mgmt TOTAL (£","GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)","GBServTO: 91 - Library, archive, museum and other cultural services TOTAL (£m)","GBServTO: 95 - Repair servs of computers/personal & household goods TOTAL (£m)","UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods TOTAL (£m)","UKProdTO: 24.4-5 - Manufacture of other basic metals and casting EXPORT (£m)","UKProdTO: 24.4-5 - Manufacture of other basic metals and casting HOME (£m)","UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products TOTAL (£m)","UKProdTO: 24.4-5 - Manufacture of other basic metals and casting TOTAL (£m)","UKProdTO: 33OTHER - Other repair; installation & maintenance HOME (£m)","GBServTO: 46 - Wholesale trade serv, except mtr vehicles/motorcycles TOTAL (£m","GBServTO: 52 - Warehousing and support services for transportation TOTAL (£m)","UKProdTO: 11.01-06+12 - Manufacture of alcoholic beverages and tobacco HOME (£m)","GBServTO: 56 - Food & beverage serving services TOTAL (£m)","GBServTO: 55 - Accommodation services TOTAL (£m)","UKProdTO: 10.6 - Manuf grain mill products, starches & starch products HOME (£","GBServTO: 49.3-5 - Land trnsprt/trnsprt via pipeline excl. rail trans TOTAL (£m)","UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats HOME (£m)","GBServTO: 58 - Publishing services TOTAL (£m)","GBServTO: 59 - Motion pic, vid/tv prod; sound recrdin/music publshing TOTAL (£","UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco EXPORT (£m)","UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco TOTAL (£m)","GBServTO: 60 - Programming & broadcasting services TOTAL (£m)","UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products EXPORT (£m","GBServTO: 61 - Telecommunications services TOTAL (£m)","UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products TOTAL (£m)","GBServTO: 62 - Computer programming, consultancy & related services TOTAL (£m)","UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapons/ammuntion HOME (£m)","UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapons/ammuntion TOTAL (£m)","GBServTO: 93 - Sporting services and amusement & recreation services TOTAL (£m)","UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapns/ammuntion EXPORT (£m)","UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products EXPORT (£m)","GBServTO: 96.01-03 - Other personal serv excl. phys wellbeing/other TOTAL (£m)","UKProdTO: 30.3 - Manuf of Air & spacecraft and related machinery EXPORT (£m)","UKProdTO: 30.3 - Manufacture of Air & spacecraft and related machinery HOME (£m)","UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products HOME (£m)","UKProdTO: 30.3 - Manuf of Air & spacecraft and related machinery TOTAL (£m)","GBServTO: 45 - Wholesale/retail trade; repair mtr vehicles/mtorcycles TOTAL (£m)"
"CDID","JQ4O","JQ4P","JQV2","D3L8","JQ4S","JQV5","JQ4T","JQ55","JQ4Q","JQV3","JQ4R","JQV4","D3L4","JQ4W","JQ4U","JQ56","JQ4V","JQ57","JQ5H","JQF9","JQ5I","JQF8","JQ5J","JQ3N","JQ3O","JQ3M","JQ3R","JQU4","JQ3S","JQ44","JQ3P","JQU2","JQ3Q","JQU3","JQ3V","JQU8","JQ3W","JQU9","JQ45","JQ46","JQ3Z","JT27","JT28","JQ4C","JQ4D","JQ4B","JQ4E","JQ4K","JQ4I","JQ4J","JQ6Q","JQ72","JQ6R","JQ73","JQ6P","JQ76","JQX7","JQ6V","JQ77","JQX8","JQ74","JQX5","JQ75","JQX6","JQ6Y","JQ6Z","JQ6W","JQ78","JQX9","JQ6X","JQ79","JQ7B","JSL5","JQ7C","DYQO","JQ7A","JQ7D","JQ7E","JQ7J","JQ7K","JQ7I","JQ7N","JQ7L","JQ7M","JQ5Q","JQ65","JQ66","JQ5R","JT3M","JQ5S","JQ64","JQ69","JQO2","JQO3","JQ67","JQ68","JQO4","JQ6A","JQG2","JQ6B","JSK8","JSK9","JQ6C","JQ6I","JQ6G","JQ6H","JQZ3","JQ98","JQ99","JQR2","JQZ7","JQ97","JQR3","JQR4","JQJ6","JQJ7","JQJ8","JR3D","JQ83","JQ84","JQY2","JQ82","JQ88","JQY9","JQ89","JR22","JSM2","JSM3","JSM6","JQ8A","JQ8H","JQ8I","JQA2","JQ8J","JQZ2","JQ2N","JQ32","D439","JQ37","JQ34","D42V","JQ2Y","D42R","JQ3B","JQ3C","D3QJ","D3QI","JQ3D","D3QF","JQ3E","D3QE","JQ3I","JQ9T","JQ9U","JR3K","JQ9S","JQ9Y","JR3P","JQS6","JQS7","JQ9Z","JQS8","JQ2J"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release Date","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017","10-11-2017"
"Next release","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1998","0.0","0.0","7197.4","0.0","8088.2","7907.3","8307.8","0.0","0.0","2208.4","219.5","5699.1","0.0","12817.4","1143.1","0.0","11674.0","0.0","40.6","8531.1","2820.2","3219.1","2861.0","0.0","12129.8","3622.9","23323.4","729.9","16109.6","0.0","9895.0","163.9","0.0","566.1","7827.2","399.1","0.0","6798.3","0.0","0.0","0.0","358947.7","471937.2","0.0","0.0","3502.9","0.0","5974.2","297.6","5677.0","13586.5","5799.1","14270.2","2587.5","683.4","872.0","644.0","738.9","2720.0","1438.4","2391.6","186.6","4979.2","457.3","1740.4","4059.0","2665.8","3591.8","1921.7","3404.9","2041.1","2934.4","24456.7","5092.8","0.0","893.3","6135.5","11228.5","5022.5","9396.1","4373.7","19125.1","3822.5","15302.2","2010.0","6670.8","7667.0","6612.4","0.0","8622.5","996.0","1634.8","16919.6","32909.8","431.2","1203.6","49829.4","314.3","11750.2","5634.4","0.0","0.0","5949.1","11681.3","1788.5","9892.8","11844.6","1310.8","1714.9","455.9","0.0","404.4","1960.7","2416.8","11351.1","14705.3","26056.0","0.0","4494.3","4674.0","3360.1","179.7","1500.9","3866.3","5832.2","6377.5","4816.1","0.0","2727.4","7333.2","2764.6","6017.3","38674.8","8782.1","7978.5","232775.2","21062.5","0.0","0.0","12009.2","0.0","18117.9","0.0","14710.7","8111.2","0.0","0.0","6204.5","0.0","28669.3","0.0","25368.6","20291.2","23330.7","0.0","3039.7","20540.2","0.0","6814.0","5644.4","18134.6","12458.4","0.0"
"1999","0.0","0.0","7561.0","0.0","7923.7","7335.1","8166.0","0.0","0.0","2155.2","242.2","5180.0","0.0","12828.6","1033.7","0.0","11794.7","0.0","115.9","8577.3","3187.3","3217.9","3303.0","0.0","13001.1","4617.6","23879.3","650.8","17752.0","0.0","10760.3","174.7","0.0","476.1","8885.5","373.4","0.0","7188.0","0.0","0.0","0.0","358615.8","501922.7","0.0","0.0","3770.8","0.0","5696.1","397.6","5298.4","14164.3","6027.0","14708.7","3035.1","544.4","856.4","721.3","775.4","2574.6","1476.3","2291.6","369.1","5326.8","352.2","1849.2","4177.6","2714.9","3431.0","2156.1","3490.3","2178.1","3060.7","25833.2","5255.3","0.0","882.2","5782.2","11037.4","5109.4","10099.3","4990.1","18701.4","3948.2","14753.1","2237.7","6000.2","6891.5","5867.1","0.0","8105.0","891.2","1525.1","16650.7","33564.7","400.9","1124.0","50215.5","287.8","11795.2","5206.6","0.0","0.0","5494.6","11417.6","1625.6","9792.0","14089.9","1277.9","1590.6","841.5","0.0","312.7","1915.9","2757.2","10266.9","14495.7","24762.7","0.0","4717.1","4913.2","3632.2","196.2","1354.7","4615.0","5607.2","6694.4","4583.3","0.0","3067.3","6961.8","2381.0","5710.4","38501.7","8091.6","9475.1","239354.7","23139.7","0.0","0.0","12577.7","0.0","19988.7","0.0","14996.7","7802.9","0.0","0.0","6895.5","0.0","34429.7","0.0","30357.5","19356.8","22217.2","0.0","2860.3","20146.2","0.0","7002.4","6505.9","18355.7","13508.3","0.0"
"2000","0.0","0.0","7452.6","0.0","7992.7","7960.0","8232.9","0.0","0.0","2049.0","240.1","5911.4","0.0","13168.6","1041.7","0.0","12127.0","0.0","81.1","9071.1","3057.8","3625.2","3139.0","0.0","14698.8","5810.3","23302.3","813.5","20940.0","2930.3","11113.4","215.3","15963.8","598.0","8297.9","383.5","21720.4","7069.1","4188.3","17850.2","16667.9","364129.7","926807.7","0.0","0.0","3957.0","0.0","5403.3","393.8","5009.6","13179.9","6022.0","13777.6","2881.7","597.5","845.7","516.3","669.7","2408.2","1477.8","2080.9","134.4","4962.3","381.7","1666.3","4355.6","3186.0","3253.8","2215.2","3855.7","2087.7","2969.7","27387.1","6235.2","0.0","882.2","6587.4","12822.7","5602.6","10763.0","5160.3","18660.6","3770.7","14889.7","1843.2","5713.1","6431.5","6011.3","17001.1","7854.2","718.5","1447.3","15358.2","30969.6","487.4","960.0","46328.0","239.4","12696.4","4848.5","0.0","4268.0","5087.7","11817.9","1717.9","10100.0","16262.2","1240.2","1566.0","436.3","684.5","325.9","1736.6","2172.9","10543.4","14156.0","24699.4","0.0","4793.7","4966.7","3693.2","173.0","1408.4","5601.2","5662.4","7432.7","4825.8","0.0","3904.0","7070.7","2979.0","5798.8","42047.0","8778.1","10661.0","382115.8","25523.8","0.0","39163.5","13192.7","0.0","27629.7","0.0","16157.7","9051.9","0.0","0.0","9345.7","0.0","41434.4","0.0","35465.2","21018.9","23704.0","0.0","2685.0","21759.4","2815.3","7005.0","6728.0","20287.5","13733.1","104042.4"
"2001","0.0","0.0","7904.1","0.0","8002.6","8457.0","8220.3","0.0","0.0","2409.4","217.7","6047.2","0.0","13277.0","1007.1","0.0","12269.7","0.0","59.9","8527.9","3145.7","3511.4","3205.7","0.0","16679.4","6335.6","25891.6","928.0","20718.4","3709.9","12859.0","283.3","18831.7","644.5","9145.9","367.3","23224.3","7536.6","5252.4","19641.5","19040.7","353654.9","967114.1","0.0","0.0","4482.9","0.0","5810.4","315.7","5494.7","12866.6","5950.7","13504.4","2838.4","638.0","950.7","479.7","609.2","2369.8","1491.4","2339.5","65.1","5178.0","414.8","1436.0","4514.5","2681.4","3320.5","2265.8","3290.4","2057.0","2890.0","24852.2","6253.6","0.0","832.6","5996.3","12250.0","6321.6","12614.3","6292.7","17995.9","3457.1","14538.9","1689.6","4797.4","5591.5","5048.2","18026.1","6737.8","793.7","1441.4","14419.0","28760.4","436.8","1004.6","43179.5","218.1","12039.5","5669.2","0.0","6392.5","5887.2","11531.0","1701.0","9829.7","13811.3","1227.1","1587.0","271.0","972.6","360.0","1734.5","2005.5","10055.2","14990.4","25045.2","0.0","4774.3","4959.6","3757.2","185.5","1444.9","4329.5","5701.1","7708.9","4918.4","0.0","3824.9","7146.2","3089.9","5636.9","37729.2","8726.8","9481.8","377725.9","28730.2","0.0","42691.8","13068.2","0.0","28644.4","0.0","17151.1","12670.6","0.0","0.0","9795.6","0.0","44749.2","0.0","40089.3","20390.3","23241.9","0.0","2851.8","18583.9","4293.5","7069.8","6891.8","19145.4","13961.7","108159.8"
