variable,value,dates.date,dates.freq
FJKP,0,1946-01-01,a
GCSR,0,1946-01-01,a
HBOG,-153,1946-01-01,a
HBZA,0,1946-01-01,a
HMBM,76,1946-01-01,a
HMBN,194,1946-01-01,a
HMBO,118,1946-01-01,a
IHXW,0,1946-01-01,a
KTMN,5,1946-01-01,a
KTMO,25,1946-01-01,a
KTMP,-20,1946-01-01,a
KTMQ,447,1946-01-01,a
KTMR,721,1946-01-01,a
KTMY,-375,1946-01-01,a
LQAD,978,1946-01-01,a
LQBL,1079,1946-01-01,a
FJKP,0,1947-01-01,a
GCSR,0,1947-01-01,a
HBOG,-311,1947-01-01,a
HBZA,0,1947-01-01,a
HMBM,140,1947-01-01,a
HMBN,256,1947-01-01,a
HMBO,116,1947-01-01,a
IHXW,0,1947-01-01,a
KTMN,7,1947-01-01,a
KTMO,26,1947-01-01,a
KTMP,-19,1947-01-01,a
KTMQ,447,1947-01-01,a
KTMR,644,1947-01-01,a
KTMY,-555,1947-01-01,a
LQAD,1200,1947-01-01,a
LQBL,1558,1947-01-01,a
AAXJ,573,1948-01-01,a
ABKW,10336,1948-01-01,a
ABKX,342715,1948-01-01,a
ABME,404371,1948-01-01,a
ABMI,381461,1948-01-01,a
ABML,10380,1948-01-01,a
ABMM,334287,1948-01-01,a
ABMP,175,1948-01-01,a
ABMQ,2727,1948-01-01,a
ABMX,11632,1948-01-01,a
ABNF,2349,1948-01-01,a
ABNU,12218,1948-01-01,a
ABNV,36,1948-01-01,a
ABPB,8426,1948-01-01,a
ABPF,229078,1948-01-01,a
ABRE,9340,1948-01-01,a
BQNK,7.3,1948-01-01,a
BQNL,7.4,1948-01-01,a
CAER,1693,1948-01-01,a
CANI,0.3,1948-01-01,a
CGCE,16.8,1948-01-01,a
CRXA,3.7,1948-01-01,a
CRXB,3.6,1948-01-01,a
CSR8,24.8,1948-01-01,a
CSR9,16.6,1948-01-01,a
DG2V,215756,1948-01-01,a
DG2Z,15.4,1948-01-01,a
FHMA,3.2,1948-01-01,a
FJKP,0,1948-01-01,a
FKNW,2.4,1948-01-01,a
GCSR,0,1948-01-01,a
GIXS,2236,1948-01-01,a
HABM,182,1948-01-01,a
HABN,7936,1948-01-01,a
