code,name,unit,preunit
M9MC,UK sector (S.1): VAT and GNI-based EU own resources (D.76): Uses: Current price: £million: Not seasonally adjusted,NA,NA
KLY8,"Total output at basic prices P1 Govt, Health & Ed. A9 CP SA",NA,NA
IG3Y,ESA10: IP: Liabs: Flows: F.4112: Foreign Currency loans by UK MFIs,NA,NA
M9ML,ESA: RW:LI: LEVEL: Monetary gold and special drawing rights,NA,NA
M9MK,ESA: CG: LI: FLOW: Monetary gold and special drawing rights,NA,NA
M9MJ,ESA: RW: LI: FLOW: Monetary gold and special drawing rights,NA,NA
NVCI,UK (S.1): Adjustment for the change in pension entitlements (D.8): Resources: Current price: £million: Not seasonally adjusted,NA,NA
NVCC,"ESA10: GG: Taxes on products, received (D21)",NA,NA
NVCE,UK sector (S.1): Taxes on products (D.21): Resources: Current price: £million: Not seasonally adjusted,NA,NA
M9MM,ESA: CG:LI: LEVEL: Monetary gold and special drawing rights,NA,NA
CEAN,CG : employers social security contributions (accrued),NA,NA
NVCO,HH & NPISH (S.14 + S.15): Other current taxes (D.59): Uses: Current price: £m: NSA,NA,NA
JIVG,UK GNI for own resource purposes (ESA2010 basis): Years 2014-2020 only,NA,NA
NVCQ,UK sector (S.1): Other current taxes (D.59): Resources: Current price: £million: Not seasonally adjusted,NA,NA
JIVH,Difference between published UK GNI and UK GNI for own resource purposes,NA,NA
NVCK,UK sector (S.1): Compensation of employees (D.1): Resources: Current price: £million: Not seasonally adjusted,NA,NA
NVCM,General Government: Other Current taxes total: D.59: CP NSA,NA,NA
KLZ4,Tax less subs D.29-D.39 Other services A10 CP SA,NA,NA
N4A7,S12 F4 BAL B.103: Nominal holding gains/losses,NA,NA
NVCW,UK (S1): Total resources/uses of use of disposable income account (T.II.4.1): Current price: £million: Not seasonally adjusted,NA,NA
KLZ3,GOS/Mixed income B.2g/B.3g Other services A10 CP SA,NA,NA
NEBH,PC:AS:FLOW:Rest of the World shares and other equity (inc F5191): CP NSA,NA,NA
KLZ2,"Compensation of Employees (D.1) , Other services A10 CP SA",NA,NA
N4A3,S1 F4 BAL B.103: Nominal holding gains/losses,NA,NA
NEBC,PC:AS:FLOW:Quoted UK shares: CP NSA,NA,NA
NMRK,General Government: Final consumption expenditure:P3:Total CP NSA £m,m,£
NVCS,Non-financial corporations sector (S11): Distributed income of corporations (D.42): Use: Current price: £million: NSA,NA,NA
KLZ7,"Total output at basic prices P.1 , Other services A10 CP SA",NA,NA
N4A4,S11 F4 BAL B.103: Nominal holding gains/losses,NA,NA
NEBD,PC:AS:FLOW:Unquoted UK shares: CP NSA,NA,NA
NMRL,"GG: Subsidies, Total paid (D3): CP NSA",NA,NA
KLZ6,Interm. consump. P2 Other services A10 CP SA,NA,NA
KLZ5,GVA at basic prices B.1g Other services A10 CP SA,NA,NA
KLX9,"Total output at basic prices P1 Professional, etc. A8 CP SA",NA,NA
KLX8,"Interm. consump at purch. prices P2 Professional, etc. A8 CP SA",NA,NA
KLX7,"GVA at basic prices B.1g Professional, etc. A8 CP SA",NA,NA
M9LE,GG: Current expenditure: VAT & GNI based EU contributions (D76u): £m CPNSA,m,£
M9LD,RW D.76r VAT and GNI based EU own resource,NA,NA
M9LK,RW D.761r VAT-based third EU own resource,NA,NA
