code,name,unit,preunit
CSYB,UKManufExp: 10-33 - UK Manufacturing Total Exports (£m),NA,NA
CSYC,UKManufDom: 10-33 - UK Manufacturing Total Domestic (£m),NA,NA
CSYD,UKProdTO: 07-39 - UK Production TOTAL (£m),NA,NA
D3L4,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats TOTAL (£m),NA,NA
D3L8,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats EXPORT (£m),NA,NA
D3QE,"UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products TOTAL (£m)",NA,NA
D3QF,"UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products EXPORT (£m",NA,NA
D3QI,UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco TOTAL (£m),NA,NA
D3QJ,UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco EXPORT (£m),NA,NA
D42R,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats HOME (£m),NA,NA
D42V,"UKProdTO: 10.6 - Manuf grain mill products, starches & starch products HOME (£",NA,NA
D439,UKProdTO: 11.01-06+12 - Manufacture of alcoholic beverages and tobacco HOME (£m),NA,NA
DM3Z,11+12: Manufacture of Beverages & Tobacco Products: CVM: Weight,NA,NA
DM43,11+12: Manufacture of Beverages & Tobacco Products: CVM: annual & monthly gr,NA,NA
DM44,11+12: Manufacture of Beverages & Tobacco Products: CVM: annual & monthly gr,NA,NA
DM45,11+12: Manufacture of Beverages & Tobacco Products: CVM: momy gr,NA,NA
DM46,11+12: Manufacture of Beverages & Tobacco Products: CVM: momy gr,NA,NA
DM4C,11+12: Manufacture of Beverages & Tobacco Products: CVM: 3mo3my gr,NA,NA
DM4D,11+12: Manufacture of Beverages & Tobacco Products: CVM: 3mo3my gr,NA,NA
DM4E,11+12: Manufacture of Beverages & Tobacco Products: CVM: 3mo3m gr,NA,NA
DM4F,11+12: Manufacture of Beverages & Tobacco Products: CVM: 3mo3m gr,NA,NA
DM4G,IOP: 11+12: Manufacture of Beverages & Tobacco Products: CVMNSA,NA,NA
DM4H,IOP: 11+12: Manufacture of Beverages & Tobacco Products: CVMSA,NA,NA
DM5M,11.01-6+12: Man of Alcoholic Beverages & Tobacco Prods: CVM: annual & monthly gr,NA,NA
DM5N,11.01-6+12: Man of Alcoholic Beverages & Tobacco Prods: CVM: annual & monthly gr,NA,NA
DM5O,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM: momy gr,NA,NA
DM5P,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM: momy gr,NA,NA
DM5Q,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM:3mo3my gr,NA,NA
DM5R,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM:3mo3my gr,NA,NA
DM5S,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM: 3mo3m gr,NA,NA
DM5T,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM: 3mo3m gr,NA,NA
DM5U,IOP: 11.01-6+12: Manufacture of alcoholic beverages & tobacco products: CVMNSA,NA,NA
DM5V,IOP: 11.01-6+12: Manufacture of alcoholic beverages & tobacco products: CVMSA,NA,NA
DM5W,11.01-6+12: Manufacture of Alcoholic Beverages & Tobacco Products: CVM: Weight,NA,NA
JQ4B,UKProdTO: 07-08 - Other mining & quarrying TOTAL (£m),NA,NA
JQ4C,"UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products EXPORT (£m",NA,NA
JQ4D,"UKProdTO: 10.1 - Processing/preserving of meat, prodn of meat products HOME (£",NA,NA
JQ4E,"UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products TOTAL (£m)",NA,NA
JQ4I,UKProdTO: 10.2-3 - Process/preserv fish crustacean mollusc fruit veg EXPORT (£m),NA,NA
