code,name,unit,preunit
A4RT,Implied deflator:AGG 1:Pred food stores - month on previous month%,%,NA
A4RU,Implied deflator:AGG 12:Pred non-food stores - month on previous month%,%,NA
A4RV,Implied deflator:47.19:Non-specialised stores - month on previous month%,%,NA
A4RW,"Implied deflator:AGG 5:Textile, clothing & footwear - month on previous month%",%,NA
A4RX,Implied deflator:AGG 7:Household goods stores - month on previous month%,%,NA
A4RY,Implied deflator:AGG 13:Other stores - month on previous month%,%,NA
A4VJ,Implied deflator:AGG 1:Predominantly food stores - year on year%,%,NA
A4VK,Implied deflator:AGG 12:Predominantly non-food stores total - year on year%,%,NA
A4VL,Implied deflator:47.19:Non-specialised stores - year on year%,%,NA
A4VM,"Implied deflator:AGG 5:Textile, clothing & footwearstores - year on year%",%,NA
A4VN,Implied deflator:AGG 7:Household goods stores - year on year%,%,NA
A4VO,Implied deflator:AGG 13:Other stores - year on year%,%,NA
CWY9,RSI: Specialist Food Stores (val nsa) All Business %,%,NA
CWZ4,"RSI: Alcoholic Drinks, Beverages & Tobacco (val nsa) All Business %",%,NA
CWZ7,RSI: Other Specialised Stoes NEC (val nsa) All Business %,%,NA
CX25,RSI: Specialist Food Stores (vol nsa) All Business %,%,NA
CX28,"RSI: Alcoholic Drinks, Beverages & Tobacco (vol nsa) All Business %",%,NA
CX2B,RSI: Other Specialised Stoes NES (vol nsa) All Business %,%,NA
CX2H,RSI:Year to date : Index : Specialist Food Stores : All Business,NA,NA
CX2K,"RSI:Year to date : Index : Alcoholic Drinks, Beverages & Tobacco : All Business",NA,NA
CX2N,RSI:Year to date : Index : Other Specialised Stores NES : All Business,NA,NA
CX2T,RSI: Year to date % change Specialist Food Stores : All Business,%,NA
CX2W,"RSI: Year to date % change Alcoholic Drinks, Beverages & Tobacco : All Business",%,NA
CX2Z,RSI: Year to date % change Other Specialised Stores NES : All Business,%,NA
CY3X,RSI: Specialist Food Stores (val nsa) All Business Index,NA,NA
CY3Y,RSI: Specialist Food Stores (vol nsa) All Business Index,NA,NA
CY45,"RSI: Alcoholic Drinks, Beverages & Tobacco (val nsa) All Business Index",NA,NA
CY46,"RSI: Alcoholic Drinks, Beverages & Tobacco (vol nsa) All Business Index",NA,NA
CY4B,RSI: Other Specialised Stores NES (val nsa) All Business Index,NA,NA
CY4C,RSI: Other Specialised Stores NES (vol nsa) All Business Index,NA,NA
EAFS,RSI:Predominantly food stores (val nsa):All Business Index,NA,NA
EAFT,RSI:Predominantly non-food stores (val nsa):All Business Index,NA,NA
EAFU,"RSI:textiles, clothing & footwear (val nsa):All Business Index",NA,NA
EAFV,RSI:Household goods stores (val nsa):All Business Index,NA,NA
EAFW,RSI:Other non-food stores (val nsa):All Business Index,NA,NA
EAGB,RSI:Non-Special Food stores (val nsa):All Business Index,NA,NA
EAGC,RSI:Non-Special Food stores (val nsa) Large Business Index,NA,NA
EAGD,RSI:Non-Special Food stores (val nsa) Small Business Index,NA,NA
EAGE,RSI:Non-Specialised Non Food stores (val nsa):All Business Index,NA,NA
EAGF,RSI:Non-Specialised Non Food stores (val nsa) Large Business Index,NA,NA
EAGG,RSI:Non-Specialised Non Food stores (val nsa) Small Business Index,NA,NA
EAGH,RSI:Retail sale of clothing (val nsa):All Business Index,NA,NA
EAGI,RSI:Retail sale of clothing (val nsa) Large Business) Index,NA,NA
EAGJ,RSI:Retail sale of clothing (val nsa) Small Business Index,NA,NA
EAGK,RSI:Predominantly food stores (val nsa) Large Business Index,NA,NA
EAGL,RSI:Predominantly food stores (val nsa) Small Business Index,NA,NA
EAGM,RSI:Predominantly non-food stores (val nsa) Large Business Index,NA,NA
EAGN,RSI:Predominantly non-food stores (val nsa) Small Business Index,NA,NA
EAGO,RSI:Textiles:Cloth:Foot & Leather (val nsa) Large Business Index,NA,NA
EAGP,RSI:Textiles:Cloth:Foot & Leather (val nsa) Small Business Index,NA,NA
EAGQ,RSI:Household goods stores (val nsa) Large Business Index,NA,NA
EAGR,RSI:Household goods stores (val nsa) Small Business Index,NA,NA
EAGS,RSI:other Specialised non-food stores (val nsa) Large Business Index,NA,NA
EAGT,RSI:other Specialised non-food stores (val nsa) Small Business Index,NA,NA
EAGW,RSI:Predominantly Food stores (vol nsa):All Business Index,NA,NA
EAGX,RSI:Predominantly non-food stores (volnsa):All Business Index,NA,NA
EAGY,"RSI:Textiles, clothing & footwear (vol nsa):All Business Index",NA,NA
EAGZ,RSI:Household goods stores (vol nsa):All Business Index,NA,NA
EAHA,RSI:Other non-food stores (vol nsa):All Business Index,NA,NA
EAHF,RSI:Retail non-Specialised food stores (vol nsa):All Business Index,NA,NA
EAHG,RSI:Retail Non-Specialised Food (vol nsa) Large Business Index,NA,NA
EAHH,RSI:Retail Non-Specialised Food (vol nsa) Small Business) Index,NA,NA
EAHI,RSI:Non-Specialised Non Food stores (vol nsa):All Business Index,NA,NA
EAHJ,RSI:Non-Specialised Non Food stores (vol nsa) Large Business Index,NA,NA
EAHK,RSI:Non-Specialised Non Food stores (vol nsa) Small Business Index,NA,NA
EAHL,RSI:Retail sale of clothing (vol nsa):All Business Index,NA,NA
EAHM,RSI:Retail sale of clothing (vol nsa) Large Business) Index,NA,NA
EAHN,RSI:Retail sale of clothing (vol nsa) Small Business Index,NA,NA
EAHO,RSI:Predominantly Food stores (vol nsa) Large Business Index,NA,NA
EAHP,RSI:Predominantly Food stores (vol nsa) Small Business Index,NA,NA
EAHQ,RSI:Predominantly non-food stores (vol nsa) Large Business Index,NA,NA
EAHR,RSI:Predominantly non-food stores (vol nsa) Small Business Index,NA,NA
EAHS,RSI:Textiles:Cloth:Foot & Leather (vol nsa) Large Business Index,NA,NA
EAHT,RSI:Textiles:Cloth:Foot & Leather (vol nsa) Small Business Index,NA,NA
EAHU,RSI:Household goods stores (vol nsa) Large Business Index,NA,NA
EAHV,RSI:Household goods stores (vol nsa) Small Business Index,NA,NA
EAHW,RSI:Other non-food stores (vol nsa) Large Business Index,NA,NA
EAHX,RSI:Other non-food stores (vol nsa) Small Business Index,NA,NA
EAIA,RSI:Pred Food stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIB,RSI:Pred non-food stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIC,"RSI:Textile,clothing&footwear:All Bus:VAL NSA:%change on same month a year ago",%,NA
EAID,RSI:Household goods stores:All Business:VAL NSA:%change on same month a year ago,%,NA
EAIF,RSI:Other non-food stores:All Business:VAL NSA:%change on same month a year ago,%,NA
