code,name,unit,preunit
A2F8,AWE: Whole Economy Real Terms Index: Seasonally Adjusted Regular Pay,"Index, base year = 100",NA
A2F9,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Regular Pay,NA,NA
A2FA,AWE: Whole Economy Real Terms Year on Year three Month Growth (%): Seasonally Adjusted Regular Pay,NA,NA
A2FC,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Regular Pay,NA,£
A2FD,AWE: Whole Economy Real Terms Index: Seasonally Adjusted Total Pay,NA,NA
A3WV,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Total Pay,NA,NA
A3WW,AWE: Whole Economy Real Terms Year on Year Three Month Growth (%): Seasonally Adjusted Total Pay,NA,NA
A3WX,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Total Pay,NA,£
EQJP,AWE: Whole Economy Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQN2,AWE: Manufacturing Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQN3,AWE: Construction Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQPY,AWE: Services Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQPZ,"AWE: Wholesale, Retail, Hotels & Restaurants Yr/Yr Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears",NA,NA
EQQA,AWE: Finance and Business Services Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQB,AWE: Private Sector Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQC,AWE: Public Sector Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQD,AWE: Public Sector Excluding Financial Services Yr/Yr Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQE,AWE: Whole Economy Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQF,AWE: Manufacturing Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQG,AWE: Construction Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQH,AWE: Services Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQI,"AWE: Wholesaling, Retailing, Hotels & Restaurants Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay",NA,NA
EQQJ,AWE: Finance and Business Services Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQK,AWE: Private Sector Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQL,AWE: Public Sector Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQM,AWE: Public Sector Excluding Financial Services Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay,NA,NA
EQQN,"AWE: Agriculture, Forestry & Fishing Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears",NA,NA
EQQO,AWE: Mining & Quarrying Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQP,"AWE: Food Products, Beverage & Tobacco Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears",NA,NA
EQQQ,"AWE: Textiles, Leather & Clothing Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears",NA,NA
EQQR,AWE: Chemicals & Man-made Fibres Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQS,AWE: Basic Metals & Metal Products Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQT,AWE: Engineering & Allied Industries Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQU,AWE: Other Manufacturing Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQV,"AWE: Electricity, Gas & Water Supply Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears",NA,NA
EQQW,AWE: Construction Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQX,AWE: Wholesale Trade Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQY,AWE: Retail Trade & Repairs Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQQZ,AWE: Transport & Storage Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRA,AWE: Accommodation & Food Services Year/Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRB,AWE: Information & Communication Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRC,AWE: Financial & Insurance Activities Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRD,AWE: Real Estate Activities Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRE,"AWE: Professional, Scientific & Tech Activities Yr/Yr Single Month Growth (%): Non Seasonally Adjusted Total Pay Exc Arrears",NA,NA
EQRF,AWE: Administrative & Support Service Yr/Yr Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
EQRG,AWE: Public Administration Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears,NA,NA
