variable,value,dates.date,dates.freq
KFV6,83,1997-01-01,a
KFV8,72.9,1997-01-01,a
KFW2,115.5,1997-01-01,a
KFW4,65.3,1997-01-01,a
KFW6,47.5,1997-01-01,a
KFW8,51.9,1997-01-01,a
KFX2,0.6,1997-01-01,a
KFX4,28.7,1997-01-01,a
KFX6,49.2,1997-01-01,a
KFX8,118.5,1997-01-01,a
KFY2,48.7,1997-01-01,a
KFY4,63.9,1997-01-01,a
KFY6,74.8,1997-01-01,a
KI7B,21.6,1997-01-01,a
KI7L,61.8,1997-01-01,a
KI7T,81.9,1997-01-01,a
KJ69,53.4,1997-01-01,a
L4VM,22,1997-01-01,a
L4VN,62.1,1997-01-01,a
L4VO,143.4,1997-01-01,a
L4VP,81.3,1997-01-01,a
L4VQ,24.2,1997-01-01,a
L4VR,2.5,1997-01-01,a
L4VS,21.7,1997-01-01,a
L4VT,3.9,1997-01-01,a
L4VU,6.4,1997-01-01,a
L4VV,12.9,1997-01-01,a
L4VW,10.4,1997-01-01,a
L4VX,7.9,1997-01-01,a
L4VY,26.2,1997-01-01,a
L4VZ,12.5,1997-01-01,a
L4W2,7.8,1997-01-01,a
L4W3,4.6,1997-01-01,a
L4W4,25.1,1997-01-01,a
L4W5,16.9,1997-01-01,a
L4W6,5.4,1997-01-01,a
L4W7,54.9,1997-01-01,a
L4W8,24.6,1997-01-01,a
L4W9,24.6,1997-01-01,a
L4WB,10.4,1997-01-01,a
L4WC,203,1997-01-01,a
L4WD,37.5,1997-01-01,a
L4WE,162.5,1997-01-01,a
L4WF,3,1997-01-01,a
L4WG,24.7,1997-01-01,a
L4WH,14.2,1997-01-01,a
L4WI,10.5,1997-01-01,a
L4WJ,9.6,1997-01-01,a
L4WK,14.8,1997-01-01,a
L4WL,8.3,1997-01-01,a
L4WM,9.5,1997-01-01,a
L4WN,5,1997-01-01,a
L4WO,1.4,1997-01-01,a
L4WP,15.5,1997-01-01,a
L4WQ,12.6,1997-01-01,a
L4WR,5.4,1997-01-01,a
L4WS,2.4,1997-01-01,a
L4WT,5.7,1997-01-01,a
L4WU,11,1997-01-01,a
L4WV,71.8,1997-01-01,a
L4WW,66.3,1997-01-01,a
L4WX,53.8,1997-01-01,a
L4WY,11.2,1997-01-01,a
L4WZ,10,1997-01-01,a
L4X2,4.8,1997-01-01,a
L4X3,1.5,1997-01-01,a
L4X4,4.3,1997-01-01,a
L4X5,5.7,1997-01-01,a
L4X6,5.8,1997-01-01,a
L4X7,1.7,1997-01-01,a
L4X8,12.7,1997-01-01,a
L4X9,2.3,1997-01-01,a
L4XB,165.3,1997-01-01,a
L4XC,329.7,1997-01-01,a
