code,name,unit,preunit
DYQO,GBServTO: 53 - Postal and courier services TOTAL (£m),NA,NA
JQ2J,GBServTO: 45 - Wholesale/retail trade; repair mtr vehicles/mtorcycles TOTAL (£m),NA,NA
JQ2N,"GBServTO: 46 - Wholesale trade serv, except mtr vehicles/motorcycles TOTAL (£m",NA,NA
JQ2Y,GBServTO: 49.3-5 - Land trnsprt/trnsprt via pipeline excl. rail trans TOTAL (£m),NA,NA
JQ32,GBServTO: 52 - Warehousing and support services for transportation TOTAL (£m),NA,NA
JQ34,GBServTO: 55 - Accommodation services TOTAL (£m),NA,NA
JQ37,GBServTO: 56 - Food & beverage serving services TOTAL (£m),NA,NA
JQ3B,GBServTO: 58 - Publishing services TOTAL (£m),NA,NA
JQ3C,"GBServTO: 59 - Motion pic, vid/tv prod; sound recrdin/music publshing TOTAL (£",NA,NA
JQ3D,GBServTO: 60 - Programming & broadcasting services TOTAL (£m),NA,NA
JQ3E,GBServTO: 61 - Telecommunications services TOTAL (£m),NA,NA
JQ3I,"GBServTO: 62 - Computer programming, consultancy & related services TOTAL (£m)",NA,NA
JQ3M,GBServTO: 63 - Information services TOTAL (£m),NA,NA
JQ3N,GBServTO: 68.3 - Real estate activities on a fee or contract basis TOTAL (£m),NA,NA
JQ3O,GBServTO: 69.1 - Legal activities TOTAL (£m),NA,NA
JQ3P,GBServTO: 69.2 - Accountng bookkeepng auditing activ: tax consultancy TOTAL (£m),NA,NA
JQ3Q,GBServTO: 70.2 - Management consulting services TOTAL (£m),NA,NA
JQ3R,GBServTO: 71 - Architcture/engineerng serv; technical testng/analysis TOTAL (£m),NA,NA
JQ3S,GBServTO: 73 - Advertising & market research services TOTAL (£m),NA,NA
JQ3V,"GBServTO: 74 - Other professional, scientific and technical services TOTAL (£m",NA,NA
JQ3W,GBServTO: 78 - Employment services TOTAL (£m),NA,NA
JQ3Z,"GBServTO: 79 - Travel agency, tour operator/oth reservation services TOTAL (£m",NA,NA
JQ44,GBServTO: 80 - Security & investigation services TOTAL (£m),NA,NA
JQ45,GBServTO: 81.2 - Cleaning activities TOTAL (£m),NA,NA
JQ46,"GBServTO: 82 - Office admin, office support & other business support TOTAL (£m",NA,NA
JR3D,GBServTO: 86 - Human health services TOTAL (£m),NA,NA
JR3K,GBServTO: 93 - Sporting services and amusement & recreation services TOTAL (£m),NA,NA
JR3P,GBServTO: 96.01-03 - Other personal serv excl. phys wellbeing/other TOTAL (£m),NA,NA
JSK8,GBServTO: 75 - Veterinary activities TOTAL (£m),NA,NA
JSK9,GBServTO: 72 - Scientific research & development services TOTAL (£m),NA,NA
JSL5,GBServTO: 85.32-60 - Techncal/vocational/secndry/higher/oth education TOTAL (£m),NA,NA
JSM2,"GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)",NA,NA
JSM3,"GBServTO: 91 - Library, archive, museum and other cultural services TOTAL (£m)",NA,NA
JSM6,GBServTO: 95 - Repair servs of computers/personal & household goods TOTAL (£m),NA,NA
JT28,GBServTO: 45-96 - GB Services TOTAL (£m),NA,NA
JT3M,GBServTO: 77 - Rental & leasing services TOTAL (£m),NA,NA
KFI6,IoS: 49: Land Transport And Transport Via Pipelines: 1m on 1m a year ago growth,NA,NA
KFI8,IoS: 49: Land Transport And Transport Via Pipelines : 3m on 3m a year ago growth,NA,NA
KFJ2,IoS: 49: Land Transport And Transport Via Pipelines: 3m on 3m growth,NA,NA
KFJ4,IoS: 60: Programming And Broadcasting Activities: 1m on 1m a yr ago growth,NA,NA
KFJ6,IoS: 60: Programming And Broadcasting Activities : 3m on 3m a year ago growth,NA,NA
KFJ8,IoS: 60: Programming And Broadcasting Activities: 3m on 3m growth,NA,NA
KFK2,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: 1m on 1m a yr ago growth",NA,NA
KFK4,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: 3m on 3m a year ago growth",NA,NA
KFK6,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: 3m on 3m growth",NA,NA
KFK8,IoS: 68: Real Estate Activities: 1m on 1m a year ago growth,NA,NA
KFL2,IoS: 68: Real Estate Activities: 3m on 3m a year ago growth,NA,NA
KFL4,IoS: 68: Real Estate Activities: 3m on 3m growth,NA,NA
KFL6,IoS: 69: Legal And Accounting Activities : 1m on 1m a yr ago growth,NA,NA
KFL8,IoS: 69: Legal And Accounting Activities: 3m on 3m a year ago growth,NA,NA
KFM2,IoS: 69: Legal And Accounting Activities: 3m on 3m growth,NA,NA
KFM4,"IoS: JA: Publishing, audiovisual & broadcasting activities: 1m on 1m a yr ago growth",NA,NA
KFM6,"IoS: JA: Publishing, audiovisual & broadcasting activities: 3m on 3m a year ago growth",NA,NA
KFM8,"IoS: JA: Publishing, audiovisual & broadcasting activities: 3m on 3m growth",NA,NA
KFN2,IoS: JB: Telecommunications: 1m on 1m a yr ago growth,NA,NA
KFN4,IoS: JB: Telecommunications: 3m on 3m a year ago growth,NA,NA
KFN6,IoS: JB: Telecommunications: 3m on 3m growth,NA,NA
KFN8,IoS: JC: IT and other information service activities : 1m on 1m a yr ago growth,NA,NA
KFO2,IoS: JC: IT and other information service activities: 3m on 3m a year ago growth,NA,NA
KFO4,IoS: JC: IT and other information service activities: 3m on 3m growth,NA,NA
KFO6,"IoS: MA: Legal, accounting, management, architecture, engineering, technical testing activities: 1m on 1m a yr ago growth",NA,NA
KFO8,"IoS: MA: Legal, accounting, management, architecture, engineering, technical testing activities: 3m on 3m a year ago growth",NA,NA
KFP2,"IoS: MA: Legal, accounting, management, architecture, engineering, technical testing activities: 3m on 3m growth",NA,NA
KFP4,IoS: MB: Scientific Research And Development: 1m on 1m a yr ago growth,NA,NA
KFP6,IoS: MB: Scientific Research And Development: 3m on 3m a year ago growth,NA,NA
KFP8,IoS: MB: Scientific Research And Development: 3m on 3m growth,NA,NA
KFQ2,IoS: MC: Other prof. scientific and technical activities: 1m on 1m a yr ago growth,NA,NA
KFQ4,IoS: MC: Other professional scientific & tech activities: 3m on 3m a year ago growth,NA,NA
KFQ6,IoS: MC: Other professional scientific and technical activities: 3m on 3m growth,NA,NA
KFQ8,IoS: QA: Human Health Activities: 1m on 1m a yr ago growth,NA,NA
KFR2,IoS: QA: Human Health Activities: 3m on 3m a year ago growth,NA,NA
KFR4,IoS: QA: Human Health Activities: 3m on 3m growth,NA,NA
KFR6,IoS: QB: Residential care and social work activities: 1m on 1m a yr ago growth,NA,NA
KFR8,IoS: QB: Residential care and social work activities: 3m on 3m a year ago growth,NA,NA
KFS2,IoS: QB: Residential care and social work activities: 3m on 3m growth,NA,NA
KFV5,IoS: 49: Land Transport And Transport Via Pipelines: Period and Period Growth,NA,NA
KFV6,Ios: 49: Land Transport And Transport Via Pipelines : Index-1dp,NA,NA
KFV7,IoS: 60: Programming And Broadcasting Activities: Period on Period Growth,NA,NA
KFV8,IoS: 60: Programming And Broadcasting Activities : Index-1dp,NA,NA
KFV9,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: Period on Period Growth",NA,NA
KFW2,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: Index-1dp",NA,NA
KFW3,IoS: 68: Real Estate Activities: Period on Period Growth,NA,NA
KFW4,IoS: 68: Real Estate Activities : Index-1dp,NA,NA
KFW5,IoS: 69: Legal And Accounting Activities: Period on Period Growth,NA,NA
KFW6,IoS: 69: Legal And Accounting Activities : Index-1dp,NA,NA
KFW7,"Ios: JA: Publishing, audiovisual & broadcasting activities: Period on Period Growth",NA,NA
KFW8,"IoS: JA: Publishing, audiovisual & broadcasting activities: Index-1dp",NA,NA
KFW9,IoS: JB: Telecommunications: Period on Period Growth,NA,NA
KFX2,IoS: JB: Telecommunications: Index-1dp,NA,NA
KFX3,Ios: JC: IT and other information service activities: Period on Period Growth,NA,NA
KFX4,IoS: JC: IT and other information service activities: Index-1dp,NA,NA
KFX5,"IoS: MA: Legal, accounting, management, architecture, engineering, technical testing activities: Period on Period Growth",NA,NA
KFX6,"IoS: Legal, accounting, management, architecture, engineering, technical testing activities: Index-1dp",NA,NA
KFX7,IoS: MB: Scientific Research And Development: Period on Period Growth,NA,NA
KFX8,IoS: MB: Scientific Research And Development : Index-1dp,NA,NA
KFX9,IoS: MC Other professional scientific and technical activities: Period on Period Growth,NA,NA
KFY2,IoS: MC: Other prof. scientific and technical activities: Index-1dp,NA,NA
KFY3,IoS: QA: Human Health Activities: Period on Period Growth,NA,NA
KFY4,IoS: QA: Human Health Activities: Index-1dp,NA,NA
KFY5,IoS: QB: Residential care and social work activities: Period on Period Growth,NA,NA
KFY6,IoS: QB: Residential care and social work activities: Index-1dp,NA,NA
KI77,"IoS: H&J: Transport, storage & communications: Period on Period Growth",NA,NA
KI7A,"IoS: H&J: Transport, storage & communications: 1m on 1m a yr ago growth",NA,NA
KI7B,"IoS: H&J: Transport, storage & communications: Index-1dp",NA,NA
KI7C,"IoS: H&J: Transport, storage & communications: 3m on 3m a year ago growth",NA,NA
KI7D,"IoS: H&J: Transport, storage & communications: 3m on 3m growth",NA,NA
KI7G,IoS: K-N: Business services & finance: Period on Period Growth,NA,NA
KI7I,IoS: K-N: Business services & finance: 1m on 1m a yr ago growth,NA,NA
KI7J,IoS: K-N: Business services & finance: 3m on 3m a year ago growth,NA,NA
KI7K,IoS: K-N: Business services & finance: 3m on 3m growth,NA,NA
KI7L,IoS: K-N: Business services & finance: Index-1dp,NA,NA
KI7O,IoS: O-T: Government & other services: Period on Period Growth,NA,NA
KI7Q,IoS: O-T: Government & other services: 1m on 1m a yr ago growth,NA,NA
KI7R,IoS: O-T: Government & other services: 3m on 3m a year ago growth,NA,NA
KI7S,IoS: O-T: Government & other services: 3m on 3m growth,NA,NA
KI7T,IoS: O-T: Government & other services: Index-1dp,NA,NA
KJ69,"IoS: M-N: Professional Scientific & Technical Activities, & Administrative & Support Service Activities: Index-1dp",NA,NA
KJ6A,"IoS: M-N: Professional Scientific & Technical Activities, & Administrative & Support Service Activities: Period on Period Growth",NA,NA
KJ6B,"IoS: M-N:Professional Scientific & Technical Activities, & Administrative & Support Service Activities:3m on 3m a year ago growth",NA,NA
KJ6C,IoS: M-N: Professional Scientific and Technical Activities & Administrative and Support Service Activities: 3m on 3m growth,NA,NA
KJ6D,"IoS: M-N: Professional Scientific & Technical Activities, & Administrative & Support Service Activities: 1m on 1m a yr ago growth",NA,NA
L4VM,IoS: 45: Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles: Weights,NA,NA
L4VN,IoS: 46: Wholesale Trade Except Of Motor Vehicles And Motorcycles: Weights,NA,NA
L4VO,IoS: 46&47: Wholesale & Retail Trade: Weights,NA,NA
L4VP,IoS: 47: Retail Trade Except Of Motor Vehicles And Motorcycles: Weights,NA,NA
L4VQ,IoS: 49: Land Transport And Transport Via Pipelines: Weights,NA,NA
L4VR,IoS: 49.1-2: Rail transport: Weights,NA,NA
L4VS,"IoS: 49.3-5: Land transport services and transport services via pipelines, excluding rail transport: Weights",NA,NA
L4VT,IoS: 50: Water Transport: Weights,NA,NA
L4VU,IoS: 51: Air Transport: Weights,NA,NA
L4VV,IoS: 52: Warehousing And Support Activities For Transportation: Weights,NA,NA
L4VW,IoS: 53: Postal And Courier Activities: Weights,NA,NA
L4VX,IoS: 55: Accommodation: Weights,NA,NA
L4VY,IoS: 56: Food And Beverage Service Activities: Weights,NA,NA
L4VZ,IoS: 58: Publishing Activities: Weights,NA,NA
L4W2,"IoS: 59: Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities: Weights",NA,NA
L4W3,IoS: 60: Programming And Broadcasting Activities: Weights,NA,NA
L4W4,IoS: 61: Telecommunications: Weights,NA,NA
L4W5,IoS: 62: Computer Programming Consultancy And Related Activities: Weights,NA,NA
L4W6,IoS: 63: Information Service Activities: Weights,NA,NA
L4W7,"IoS: 64: Financial Service Activities, Except Insurance And Pension Funding: Weights",NA,NA
L4W8,"IoS: 65: Insurance, Reinsurance And Pension Funding, Except Compulsory Social Security: Weights",NA,NA
L4W9,"IoS: 65.1-2: Insurance and reinsurance, except compulsory social security: Weights",NA,NA
L4WB,IoS: 66: Activities Auxiliary To Financial Services And Insurance Activities: Weights,NA,NA
L4WC,IoS: 68: Real Estate Activities: Weights,NA,NA
L4WD,"IoS: 68.1-2: Buying & selling, renting & operating of own or leased real estate, excluding imputed rent: Weights",NA,NA
L4WE,IoS: 68.2IMP: Imputed rent: Weights,NA,NA
L4WF,IoS: 68.3: Real estate activities on a fee or contract basis: Weights,NA,NA
L4WG,IoS: 69: Legal And Accounting Activities: Weights,NA,NA
L4WH,IoS: 69.1: Legal activities: Weights,NA,NA
L4WI,IoS: 69.2: Accounting bookkeeping and auditing activities; tax consultancy: Weights,NA,NA
L4WJ,IoS: 70: Activities Of Head Offices; Management Consultancy Activities: Weights,NA,NA
L4WK,IoS: 71: Architectural And Engineering Activities; Technical Testing And Analysis: Weights,NA,NA
L4WL,IoS: 72: Scientific Research And Development: Weights,NA,NA
L4WM,IoS: 73: Advertising And Market Research: Weights,NA,NA
L4WN,IoS: 74: Other Professional Scientific And Technical Activities: Weights,NA,NA
L4WO,IoS: 75: Veterinary Activities: Weights,NA,NA
L4WP,IoS: 77: Rental And Leasing Activities: Weights,NA,NA
L4WQ,IoS: 78: Employment Activities: Weights,NA,NA
L4WR,"IoS: 79: Travel Agency, Tour Operator And Other Reservation Service And Related Activities: Weights",NA,NA
L4WS,IoS: 80: Security And Investigation Activities: Weights,NA,NA
L4WT,IoS: 81: Services To Buildings And Landscape Activities: Weights,NA,NA
L4WU,IoS: 82: Office Administrative Office Support And Other Business Support Act: Weights,NA,NA
L4WV,IoS: 84: Public Administration And Defence; Compulsory Social Security: Weights,NA,NA
L4WW,IoS: 85: Education: Weights,NA,NA
L4WX,IoS: 86: Human Health Activities: Weights,NA,NA
L4WY,IoS: 87: Residential Care Activities: Weights,NA,NA
L4WZ,IoS: 88: Social Work Activities Without Accommodation: Weights,NA,NA
