code,name,unit,preunit
A2F9,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Regular Pay,NA,NA
A2FA,AWE: Whole Economy Real Terms Year on Year three Month Growth (%): Seasonally Adjusted Regular Pay,NA,NA
A2FC,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Regular Pay,NA,£
A3WV,AWE: Whole Economy Real Terms Year on Year Single Month Growth (%): Seasonally Adjusted Total Pay,NA,NA
A3WW,AWE: Whole Economy Real Terms Year on Year Three Month Growth (%): Seasonally Adjusted Total Pay,NA,NA
A3WX,AWE: Whole Economy Real Terms Level (£): Seasonally Adjusted Total Pay,NA,£
A48O,Employment rate Canada (OECD) seasonally adjusted,NA,NA
A48P,Employment Rate Japan (OECD) seasonally adjusted,NA,NA
A48Q,Employment Rate United States (OECD) seasonally adjusted,NA,NA
A48Z,"Standardised ILO unemployment rates, seasonally adjusted, Romania - Eurostat",NA,NA
A492,"Standardised ILO unemployment rates, seasonally adjusted, Bulgaria - Eurostat",NA,NA
A493,Standardised ILO Unemployment rates - Total EU,NA,NA
A494,International Comparison Employment rates - Romania,NA,NA
A495,International Comparison employment rates - Bulgaria,NA,NA
A496,International Comparison - Employment rates - Total EU,NA,NA
A4AC,International Comparison Employment Rates - Cyprus,NA,NA
A4AD,International Comparison Employment Rates - Czech Republic,NA,NA
A4AE,International Comparison Employment Rates - Estonia,NA,NA
A4AF,International Comparison Employment Rates - Hungary,NA,NA
A4AG,International Comparison Employment Rates - Latvia,NA,NA
A4AH,International Comparison Employment Rates - Lithuania,NA,NA
A4AI,International Comparison Employment Rates - Malta,NA,NA
A4AJ,International Comparison Employment Rates - Poland,NA,NA
A4AK,International Comparison Employment Rates - Slovak Republic,NA,NA
A4AL,International Comparison Employment Rates - Slovenia,NA,NA
A4AN,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Cyprus Eurostat,NA,NA
A4AO,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Czech Republic Eurostat,NA,NA
A4AP,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Estonia Eurostat,NA,NA
A4AQ,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Hungary Eurostat,NA,NA
A4AR,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Latvia Eurostat,NA,NA
A4AS,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Lithuania Eurostat,NA,NA
A4AT,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Malta Eurostat,NA,NA
A4AU,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Poland Eurostat,NA,NA
A4AV,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovak Republic Eurostat,NA,NA
A4AW,STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED Slovenia Eurostat,NA,NA
AGNH,LFS: In employment: Aged 16-17: Not in full-time education: UK: All: 000s: SA,000's,NA
AGNI,LFS: In employment: Aged 18-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGNJ,LFS: In employment: Aged 16-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGNK,LFS: In employment: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGNL,LFS: In employment: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGNM,LFS: In employment: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGNN,LFS: In employment: Aged 16-17: Not in full-time education: UK: Female: 000s: SA,000's,NA
AGNO,LFS: In employment: Aged 18-24: Not in full-time education: UK: Female: 000s: SA,000's,NA
AGNP,LFS: In employment: Aged 16-24: Not in full-time education: UK: Female: 000s: SA,000's,NA
AGNR,LFS: In employment: Aged 16-17: In full-time education: UK: All: 000s: SA,000's,NA
AGNS,LFS: In employment: Aged 18-24: In full-time education: UK: All: 000s: SA,000's,NA
AGNT,LFS: In employment: Aged 16-24: In full-time education: UK: All: 000s: SA,000's,NA
AGNU,LFS: In employment: Aged 16-17: In full-time education: UK: Male: 000s: SA,000's,NA
AGNV,LFS: In employment: Aged 18-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGNW,LFS: In employment: Aged 16-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGNX,LFS: In employment: Aged 16-17: In full-time education: UK: Female: 000s: SA,000's,NA
AGNY,LFS: In employment: Aged 18-24: In full-time education: UK: Female: 000s: SA,000's,NA
AGNZ,LFS: In employment: Aged 16-24: In full-time education: UK: Female: 000s: SA,000's,NA
AGOJ,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: All: 000s: SA,000's,NA
AGOK,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGOL,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGOM,LFS: Unemployed: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGON,LFS: Unemployed: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGOO,LFS: Unemployed: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGOP,LFS: Unemployed: Aged 16-17: Not in full-time educ.: UK: Female: 000s: SA,000's,NA
AGOQ,LFS: Unemployed: Aged 18-24: Not in full-time educ.: UK: Female: 000s: SA,000's,NA
AGOR,LFS: Unemployed: Aged 16-24: Not in full-time educ.: UK: Female: 000s: SA,000's,NA
AGOS,LFS: Unemployed: Aged 16-17: In full-time education: UK: All: 000s: SA,000's,NA
AGOT,LFS: Unemployed: Aged 18-24: In full-time education: UK: All: 000s: SA,000's,NA
AGOU,LFS: Unemployed: Aged 16-24: In full-time education: UK: All: 000s: SA,000's,NA
AGOV,LFS: Unemployed: Aged 16-17: In full-time education: UK: Male: 000s: SA,000's,NA
AGOW,LFS: Unemployed: Aged 18-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGOX,LFS: Unemployed: Aged 16-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGOY,LFS: Unemployed: Aged 16-17: In full-time education: UK: Female: 000s: SA,000's,NA
AGOZ,LFS: Unemployed: Aged 18-24: In full-time education: UK: Female: 000s: SA,000's,NA
AGPA,LFS: Unemployed: Aged 16-24: In full-time education: UK: Female: 000s: SA,000's,NA
AGPK,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: All: 000s: SA,000's,NA
AGPL,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGPM,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: All: 000s: SA,000's,NA
AGPN,LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGPO,LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGPP,LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,000's,NA
AGPQ,LFS: Econ. inactive: Aged 16-17: Not in full-time education.: UK: Female: 000s: SA,000's,NA
AGPR,LFS: Econ. inactive: Aged 18-24: Not in full-time education.: UK: Female: 000s: SA,000's,NA
AGPS,LFS: Econ. inactive: Aged 16-24: Not in full-time education.: UK: Female: 000s: SA,000's,NA
AGPT,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: All: 000s: SA,000's,NA
AGPU,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: All: 000s: SA,000's,NA
AGPV,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: All: 000s: SA,000's,NA
AGPW,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Male: 000s: SA,000's,NA
AGPX,LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGPY,LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Male: 000s: SA,000's,NA
AGTD,LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Female: 000s: SA,000's,NA
