variable,value,dates.date,dates.freq
ECY2,63.3,1997-01-01,m
ECY3,51.9,1997-01-01,m
ECY4,81.8,1997-01-01,m
ECY5,405.1,1997-01-01,m
ECY6,64.2,1997-01-01,m
ECY7,85.1,1997-01-01,m
ECY8,116.4,1997-01-01,m
ECY9,88.7,1997-01-01,m
ECYC,59,1997-01-01,m
ECYD,76.6,1997-01-01,m
ECYG,72.2,1997-01-01,m
ECYH,80.9,1997-01-01,m
ECYI,8.4,1997-01-01,m
ECYJ,68.3,1997-01-01,m
ECYK,65.8,1997-01-01,m
ECYL,52.3,1997-01-01,m
ECYP,52.1,1997-01-01,m
ECYQ,87.1,1997-01-01,m
ECYR,92.8,1997-01-01,m
ECYS,65.8,1997-01-01,m
ECYT,85.6,1997-01-01,m
ECYU,93.2,1997-01-01,m
ECYV,84.1,1997-01-01,m
ECY2,64,1997-02-01,m
ECY3,52.6,1997-02-01,m
ECY4,82.1,1997-02-01,m
ECY5,388.8,1997-02-01,m
ECY6,64.9,1997-02-01,m
ECY7,82.8,1997-02-01,m
ECY8,117,1997-02-01,m
ECY9,89.4,1997-02-01,m
ECYC,59.7,1997-02-01,m
ECYD,77.7,1997-02-01,m
ECYG,72.7,1997-02-01,m
ECYH,80.6,1997-02-01,m
ECYI,8.7,1997-02-01,m
ECYJ,68.8,1997-02-01,m
ECYK,67.4,1997-02-01,m
ECYL,51.9,1997-02-01,m
ECYP,52.4,1997-02-01,m
ECYQ,87.2,1997-02-01,m
ECYR,93.8,1997-02-01,m
ECYS,66.4,1997-02-01,m
ECYT,85.5,1997-02-01,m
ECYU,95.5,1997-02-01,m
ECYV,75.9,1997-02-01,m
ECYX,1,1997-02-01,m
ECYY,1.3,1997-02-01,m
ECYZ,0.3,1997-02-01,m
ECZ2,-4,1997-02-01,m
ECZA,1.1,1997-02-01,m
ECZC,-2.8,1997-02-01,m
ECZD,0.5,1997-02-01,m
ECZE,0.8,1997-02-01,m
ECZG,1.3,1997-02-01,m
ECZK,1.4,1997-02-01,m
ECZN,0.6,1997-02-01,m
ECZT,-0.4,1997-02-01,m
ECZU,4.4,1997-02-01,m
ED2G,0.7,1997-02-01,m
ED2H,2.4,1997-02-01,m
ED2I,-0.8,1997-02-01,m
ED2J,0.6,1997-02-01,m
ED2K,0.1,1997-02-01,m
ED2L,1,1997-02-01,m
ED2M,1,1997-02-01,m
ED2N,-0.2,1997-02-01,m
ED2O,2.4,1997-02-01,m
ED2P,-9.7,1997-02-01,m
EDKH,1.04,1997-02-01,m
EDKI,0.01,1997-02-01,m
EDKJ,0.06,1997-02-01,m
EDKK,-0.1,1997-02-01,m
EDKL,0.18,1997-02-01,m
EDKM,-0.04,1997-02-01,m
EDKN,0.01,1997-02-01,m
EDKO,0.04,1997-02-01,m
EDKP,0.9,1997-02-01,m
EDKQ,0.15,1997-02-01,m
EDKR,0.03,1997-02-01,m
EDKS,-0.01,1997-02-01,m
EDKT,0.19,1997-02-01,m
EDKU,0.05,1997-02-01,m
EDKV,0.37,1997-02-01,m
EDKW,-0.04,1997-02-01,m
EDKX,0.02,1997-02-01,m
EDKY,0.01,1997-02-01,m
EDKZ,0.05,1997-02-01,m
EDLA,0.05,1997-02-01,m
EDLB,0,1997-02-01,m
EDLC,0.03,1997-02-01,m
EDLD,-0.02,1997-02-01,m
ECY2,64,1997-03-01,m
ECY3,53.3,1997-03-01,m
ECY4,80.9,1997-03-01,m
ECY5,377.6,1997-03-01,m
ECY6,64.2,1997-03-01,m
ECY7,78.5,1997-03-01,m
ECY8,117.8,1997-03-01,m
ECY9,90.3,1997-03-01,m
ECYC,60,1997-03-01,m
ECYD,79.7,1997-03-01,m
ECYG,72.1,1997-03-01,m
ECYH,80.3,1997-03-01,m
ECYI,8.8,1997-03-01,m
ECYJ,68.3,1997-03-01,m
ECYK,67.4,1997-03-01,m
ECYL,52.7,1997-03-01,m
ECYP,52.4,1997-03-01,m
ECYQ,87.2,1997-03-01,m
ECYR,93,1997-03-01,m
ECYS,66.5,1997-03-01,m
ECYT,86.9,1997-03-01,m
ECYU,96.5,1997-03-01,m
ECYV,74.1,1997-03-01,m
ECYX,0.1,1997-03-01,m
ECYY,1.3,1997-03-01,m
ECYZ,-1.5,1997-03-01,m
ECZ2,-2.9,1997-03-01,m
ECZA,-1.1,1997-03-01,m
ECZC,-5.2,1997-03-01,m
ECZD,0.7,1997-03-01,m
ECZE,1.1,1997-03-01,m
ECZG,0.4,1997-03-01,m
ECZK,2.6,1997-03-01,m
ECZN,-0.8,1997-03-01,m
ECZT,-0.4,1997-03-01,m
ECZU,0.7,1997-03-01,m
ED2G,-0.7,1997-03-01,m
ED2H,0,1997-03-01,m
ED2I,1.6,1997-03-01,m
ED2J,0,1997-03-01,m
ED2K,0,1997-03-01,m
ED2L,-0.9,1997-03-01,m
ED2M,0.1,1997-03-01,m
ED2N,1.7,1997-03-01,m
ED2O,1.1,1997-03-01,m
ED2P,-2.4,1997-03-01,m
EDKH,0.06,1997-03-01,m
EDKI,0.01,1997-03-01,m
EDKJ,-0.31,1997-03-01,m
EDKK,-0.07,1997-03-01,m
EDKL,-0.19,1997-03-01,m
EDKM,-0.07,1997-03-01,m
EDKN,0.01,1997-03-01,m
EDKO,0.05,1997-03-01,m
EDKP,0.3,1997-03-01,m
EDKQ,0.29,1997-03-01,m
EDKR,-0.03,1997-03-01,m
EDKS,-0.01,1997-03-01,m
EDKT,0.04,1997-03-01,m
EDKU,-0.05,1997-03-01,m
EDKV,0,1997-03-01,m
EDKW,0.08,1997-03-01,m
EDKX,0,1997-03-01,m
EDKY,0,1997-03-01,m
EDKZ,-0.04,1997-03-01,m
EDLA,0.01,1997-03-01,m
EDLB,0.02,1997-03-01,m
EDLC,0.01,1997-03-01,m
EDLD,0,1997-03-01,m
ECY2,64.6,1997-04-01,m
ECY3,54.6,1997-04-01,m
ECY4,82.9,1997-04-01,m
ECY5,377.1,1997-04-01,m
ECY6,65.8,1997-04-01,m
ECY7,83.7,1997-04-01,m
ECY8,120.2,1997-04-01,m
ECY9,92.7,1997-04-01,m
ECYC,60.2,1997-04-01,m
ECYD,82.3,1997-04-01,m
ECYG,73.3,1997-04-01,m
ECYH,81.7,1997-04-01,m
ECYI,8.8,1997-04-01,m
ECYJ,68.9,1997-04-01,m
ECYK,66.6,1997-04-01,m
ECYL,51.8,1997-04-01,m
ECYP,51,1997-04-01,m
ECYQ,88.1,1997-04-01,m
ECYR,92.3,1997-04-01,m
ECYS,66.9,1997-04-01,m
ECYT,89.7,1997-04-01,m
ECYU,96.3,1997-04-01,m
ECYV,79.3,1997-04-01,m
ECYX,0.9,1997-04-01,m
ECYY,2.5,1997-04-01,m
ECYZ,2.5,1997-04-01,m
ECZ2,-0.1,1997-04-01,m
ECZA,2.5,1997-04-01,m
ECZC,6.7,1997-04-01,m
ECZD,2,1997-04-01,m
ECZE,2.6,1997-04-01,m
ECZG,0.3,1997-04-01,m
ECZK,3.2,1997-04-01,m
ECZN,1.6,1997-04-01,m
ECZT,1.8,1997-04-01,m
ECZU,-0.4,1997-04-01,m
