code,name,unit,preunit
ECY2,Gross Value Added - Monthly (Index 1dp) :CVM SA,NA,NA
ECY3,"Agriculture, Forestry and Fishing (Index 1dp) :CVM SA",NA,NA
ECY4,Production Industries - Total (Index 1dp) :CVM SA,NA,NA
ECY5,Mining and Quarrying (Index 1dp) :CVM SA,NA,NA
ECY6,Manufacturing (Index 1dp) :CVM SA,NA,NA
ECY7,"Electricity, gas, steam and air conditioning supply(Index 1dp) :CVM SA",NA,NA
ECY8,"Water supply; Sewerage,waste management & remediation activities (Index 1dp) :CVM SA",NA,NA
ECY9,Construction (Index 1dp) :CVM SA,NA,NA
ECYC,Service Industries - Total (Index 1dp) :CVM SA,NA,NA
ECYD,Wholesale & retail trade; Repair of motor vehicles/cycles (Index 1dp) :CVM SA,NA,NA
ECYG,Transportation and Storage (Index 1dp) :CVM SA,NA,NA
ECYH,Accommodation and food service activities (Index 1dp) :CVM SA,NA,NA
ECYI,Information and communication (Index 1dp) :CVM SA,NA,NA
ECYJ,Financial and insurance activities (Index 1dp) :CVM SA,NA,NA
ECYK,Real estate activities (Index 1dp) :CVM SA,NA,NA
ECYL,"Professional, scientific and technical activities (Index 1dp) :CVM SA",NA,NA
ECYP,Administrative and Support Service Activities (Index 1dp) :CVM SA,NA,NA
ECYQ,Public admin and defence; Compulsory social security (Index 1dp) :CVM SA,NA,NA
ECYR,Education (Index 1dp) :CVM SA,NA,NA
ECYS,Human health and social work activities (Index 1dp) :CVM SA,NA,NA
ECYT,"Arts, Entertainment and Recreation (Index 1dp) :CVM SA",NA,NA
ECYU,Other service activities (Index 1dp) :CVM SA,NA,NA
ECYV,Activities of housholds as employers;Undiff goods & services (Index 1dp) :CVM SA,NA,NA
ECYX,Gross Value Added - Monthly (period on period growth) :CVM SA,NA,NA
ECYY,"Agriculture, Forestry and Fishing (period on period growth) :CVM SA",NA,NA
ECYZ,Production Industries - Total (period on period growth) :CVM SA,NA,NA
