code,name,unit,preunit
EQUB,PPI INDEX IMPORT EU - C1011 Processed and preserved meat 2015=100,NA,NA
EQUD,PPI INDEX IMPORT EU - C1013 Meat and poultry meat products 2015=100,NA,NA
EQUE,"PPI INDEX IMPORT EU - C1020 Processed and preserved fish, crustaceans and molluscs 2015=100",NA,NA
EQUG,PPI INDEX IMPORT EU - C1032 Fruit and vegetable juices 2015=100,NA,NA
EQVA,PPI INDEX IMPORT EU - C1101 Distilled alcoholic beverages 2015=100,NA,NA
EQVI,PPI INDEX IMPORT EU - C1310 Textile yarn and thread 2015=100,NA,NA
EQVJ,PPI INDEX IMPORT EU - C1320 Woven textiles 2015=100,NA,NA
EQWD,"PPI INDEX IMPORT EU - C1610 Wood, sawn and planed 2015=100",NA,NA
EQWG,PPI INDEX IMPORT EU - C1623 Other builders' carpentry and joinery 2015=100,NA,NA
EQWK,PPI INDEX IMPORT EU - C1712 Paper and paperboard 2015=100,NA,NA
EQWM,PPI INDEX IMPORT EU - C1722 Household and sanitary goods and toilet requisites 2015=100,NA,NA
EQWZ,PPI INDEX IMPORT EU - C2013 Other inorganic basic chemicals 2015=100,NA,NA
EQXA,PPI INDEX IMPORT EU - C2014 Other organic basic chemicals 2015=100,NA,NA
EQXC,PPI INDEX IMPORT EU - C2016 Plastics in primary forms 2015=100,NA,NA
EQXH,PPI INDEX IMPORT EU - C2042 Perfumes and toilet preparations 2015=100,NA,NA
EQXL,PPI INDEX IMPORT EU - C2059 Other chemical products n.e.c. 2015=100,NA,NA
EQXP,PPI INDEX IMPORT EU - C2211 Rubber tyres and tubes; retreading and rebuilding of rubber tyres 2015=100,NA,NA
EQXQ,PPI INDEX IMPORT EU - C2219 Other rubber products 2015=100,NA,NA
EQXR,"PPI INDEX IMPORT EU - C2221 Plastic plates, sheets, tubes and profiles 2015=100",NA,NA
EQXU,PPI INDEX IMPORT EU - C2229 Other plastic products 2015=100,NA,NA
EQXW,PPI INDEX IMPORT EU - C2312 Shaped and processed flat glass 2015=100,NA,NA
EQXX,PPI INDEX IMPORT EU - C2313 Hollow glass 2015=100,NA,NA
EQYA,PPI INDEX IMPORT EU - C2320 Refractory products 2015=100,NA,NA
EQYB,PPI INDEX IMPORT EU - C2331 Ceramic tiles and flags 2015=100,NA,NA
EQYC,"PPI INDEX IMPORT EU - C2332 Bricks, tiles and construction products, in baked clay 2015=100",NA,NA
EQYD,PPI INDEX IMPORT EU - C2341 Ceramic household and ornamental articles 2015=100,NA,NA
EQYQ,"PPI INDEX IMPORT EU - C2370 Cut, shaped and finished stone 2015=100",NA,NA
EQYU,"PPI INDEX IMPORT EU - C2420 Tubes, pipes, hollow profiles and related fittings, of steel 2015=100",NA,NA
EQZA,PPI INDEX IMPORT EU - C2442 Aluminium 2015=100,NA,NA
