code,name,unit,preunit
AJFB,Average Sterling exchange rate: Canadian Dollar XUMACDS,NA,NA
AJFD,Average Sterling exchange rate: Swiss franc XUMASFS,NA,NA
AJFI,Average Sterling exchange rate: Swedish kroner XUMASKS,NA,NA
AJFJ,Average Sterling exchange rate: Norwegian kroner XUMANKS,NA,NA
AJFK,Average Sterling exchange rate: Danish kroner XUMADKS,NA,NA
AJFO,Average Sterling exchange rate: Japanese yen XUMAJYS,NA,NA
AJFP,Average Sterling exchange rate: Australian Dollar,NA,NA
AJFU,Average Sterling exchange rate: Hong Kong Dollar XUMAHDS,NA,NA
AJFV,Average Sterling exchange rate: New Zealand Dollar,NA,NA
AJFW,Average Sterling exchange rate: South African Rand,NA,NA
APQL,Trade in Services (TS): Travel: WW: Imports: BOP: CP: SA: £m,NA,NA
AUEV,Trade in Goods: Estonia: Total: Exports: BOP: CP: SA,NA,NA
AUSS,Average Sterling exchange rate: US Dollar XUMAUSS,NA,NA
BK67,Sterling effective exchange rate index: Monthly average (Jan 2005=100),"Index, base year = 100",NA
BOGG,Trade in Goods: Food & live animals (0): WW: Exports: BOP: CP: SA,NA,NA
BOGS,Trade in Goods: Meat & meat preparations (01): WW: Exports: BOP: CP: SA,NA,NA
BOKG,Trade in Goods (T): WW: Exports: BOP: CP: SA,m,£
BOKH,Trade in Goods (T): WW: Imports: BOP: CP: SA,m,£
BOKI,Trade in Goods (T): WW: Balance: BOP: CP: SA,m,£
BOKJ,Trade in Goods: Unspecified goods (9): WW: Exports: BOP: CP: NSA,NA,NA
BOKL,Trade in Goods: Oil (33): WW: Exports: BOP: CP: NSA,NA,NA
BOLA,Trade in Goods: Works of art (896): WW: Exports: BOP: CVM: SA,NA,NA
BOPL,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: CP: SA",m,£
BOPM,Trade in Goods: Basic materials (2and4): WW: Exports: BOP: CP: SA,m,£
BOPN,Trade in Goods: Fuels (3): WW: Exports: BOP: CP: SA,NA,NA
BOPO,Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: CP: SA,m,£
BOPP,Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: CP: SA,m,£
BOQI,Trade in Goods: Fuels other than oil (3OF): WW: Exports: BOP: CP: SA,m,£
BOQL,Trade in Goods: Unspecified goods (9): WW: Exports: BOP: CP: SA,m,£
BOQM,Trade in Goods: Crude oil (33O): WW: Exports: BOP: Tons: SA,NA,NA
BOQN,Trade in Goods: Refined oil (33R): WW: Exports: BOP: CP: SA,NA,NA
BOVA,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: IDEF: SA",NA,NA
BOVB,Trade in Goods: Basic materials (2and4): WW: Exports: BOP: IDEF: SA,NA,NA
BOVC,Trade in Goods: Fuels (3): WW: Exports: BOP: IDEF: SA,NA,NA
BOVD,Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: IDEF: SA,NA,NA
BOVE,Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: IDEF: SA,NA,NA
BOVF,Trade in Goods: Unspecified goods (9): WW: Exports: BOP: IDEF: SA,NA,NA
BOVG,Trade in Goods: Crude oil (33O): WW: Exports: BOP: IDEF: SA,NA,NA
BOVH,Trade in Goods: Refined oil (33R): WW: Exports: BOP: IDEF: SA,NA,NA
BOVI,Trade in Goods: Fuels other than oil (3OF): WW: Exports: BOP: IDEF: SA,NA,NA
BOVQ,Trade in Goods: Erratics (E): WW: Exports: BOP: IDEF: SA,NA,NA
BOVS,Trade in Goods: Manufactures (5to8): WW: Exports: BOP: IDEF: SA,NA,NA
BOVT,Trade in Goods less erratics (TlessE): WW: Exports: BOP: IDEF: SA,NA,NA
BOVU,Trade in Goods less oil (TlessO): WW: Exports: BOP: IDEF: SA,NA,NA
BOVV,Trade in Goods less oil & erratics (TlessOE): WW: Exports: BOP: IDEF: SA,NA,NA
BOVW,Trade in Goods (T): WW: Exports: BOP: IDEF: SA,NA,NA
BOVX,Trade in Goods: Oil (33): WW: Exports: BOP: IDEF: SA,NA,NA
BOXA,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: CVM: SA",NA,NA
BOXB,Trade in Goods: Basic materials (2and4): WW: Exports: BOP: CVM: SA,NA,NA
BOXC,Trade in Goods: Fuels (3): WW: Exports: BOP: CVM: SA,NA,NA
BOXD,Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: CVM: SA,NA,NA
BOXE,Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: CVM: SA,NA,NA
BOXF,Trade in Goods: Unspecified goods (9): WW: Exports: BOP: CVM: SA,NA,NA
