variable,value,dates.date,dates.freq
A4YM,34.4,1960-01-01,a
LNNM,73.3,1960-01-01,a
LNNN,34.5,1960-01-01,a
TXEL,73.7,1960-01-01,a
TXET,99.5,1960-01-01,a
A4YM,34.9,1961-01-01,a
A4YN,1.6,1961-01-01,a
DIW9,1.2,1961-01-01,a
LNNM,74.1,1961-01-01,a
LNNN,35.1,1961-01-01,a
LNNO,1.1,1961-01-01,a
LNNP,1.7,1961-01-01,a
TXEL,74.6,1961-01-01,a
TXET,99.4,1961-01-01,a
A4YM,35.2,1962-01-01,a
A4YN,0.8,1962-01-01,a
DIW9,0.5,1962-01-01,a
LNNM,74.5,1962-01-01,a
LNNN,35.4,1962-01-01,a
LNNO,0.5,1962-01-01,a
LNNP,0.7,1962-01-01,a
TXEL,75,1962-01-01,a
TXET,99.4,1962-01-01,a
A4YM,36.9,1963-01-01,a
A4YN,5,1963-01-01,a
DIW9,0.2,1963-01-01,a
LNNM,74.7,1963-01-01,a
LNNN,37.1,1963-01-01,a
LNNO,0.3,1963-01-01,a
LNNP,4.9,1963-01-01,a
TXEL,75.1,1963-01-01,a
TXET,99.4,1963-01-01,a
A4YM,38.5,1964-01-01,a
A4YN,4.3,1964-01-01,a
DIW9,1.4,1964-01-01,a
LNNM,75.8,1964-01-01,a
LNNN,38.7,1964-01-01,a
LNNO,1.4,1964-01-01,a
LNNP,4.3,1964-01-01,a
TXEL,76.2,1964-01-01,a
TXET,99.5,1964-01-01,a
A4YM,39.1,1965-01-01,a
A4YN,1.4,1965-01-01,a
DIW9,1,1965-01-01,a
LNNM,76.5,1965-01-01,a
LNNN,39.3,1965-01-01,a
LNNO,1,1965-01-01,a
LNNP,1.5,1965-01-01,a
TXEL,77,1965-01-01,a
TXET,99.4,1965-01-01,a
A4YM,39.4,1966-01-01,a
A4YN,0.9,1966-01-01,a
DIW9,0.5,1966-01-01,a
LNNM,76.8,1966-01-01,a
LNNN,39.7,1966-01-01,a
LNNO,0.3,1966-01-01,a
LNNP,1,1966-01-01,a
TXEL,77.3,1966-01-01,a
TXET,99.3,1966-01-01,a
A4YM,40.8,1967-01-01,a
A4YN,3.5,1967-01-01,a
DIW9,-1.2,1967-01-01,a
LNNM,75.8,1967-01-01,a
LNNN,41.1,1967-01-01,a
LNNO,-1.2,1967-01-01,a
LNNP,3.5,1967-01-01,a
TXEL,76.4,1967-01-01,a
TXET,99.3,1967-01-01,a
A4YM,43.3,1968-01-01,a
A4YN,6.1,1968-01-01,a
DIW9,-0.5,1968-01-01,a
LNNM,75.5,1968-01-01,a
LNNN,43.6,1968-01-01,a
LNNO,-0.4,1968-01-01,a
LNNP,6.1,1968-01-01,a
TXEL,76,1968-01-01,a
TXET,99.3,1968-01-01,a
A4YM,44.2,1969-01-01,a
A4YN,2,1969-01-01,a
DIW9,0,1969-01-01,a
LNNM,75.5,1969-01-01,a
LNNN,44.5,1969-01-01,a
LNNO,0,1969-01-01,a
LNNP,2,1969-01-01,a
TXEL,76,1969-01-01,a
TXET,99.3,1969-01-01,a
A4YM,45.5,1970-01-01,a
A4YN,3,1970-01-01,a
DIW9,-0.4,1970-01-01,a
LNNM,75.2,1970-01-01,a
LNNN,45.8,1970-01-01,a
