variable,value,dates.date,dates.freq
C9K9,2333,1991-01-01,a
C9KA,3070,1991-01-01,a
C9KB,5403,1991-01-01,a
C9KC,582,1991-01-01,a
C9KD,5985,1991-01-01,a
C9KE,593,1991-01-01,a
C9LA,182,1991-01-01,a
C9LB,311,1991-01-01,a
C9LC,224,1991-01-01,a
C9LD,1292,1991-01-01,a
C9LF,1325,1991-01-01,a
C9LG,1220,1991-01-01,a
C9LH,432,1991-01-01,a
C9LJ,999,1991-01-01,a
G7D6,593,1991-01-01,a
C9K9,2348,1992-01-01,a
C9KA,3018,1992-01-01,a
C9KB,5366,1992-01-01,a
C9KC,544,1992-01-01,a
C9KD,5910,1992-01-01,a
C9KE,609,1992-01-01,a
C9LA,166,1992-01-01,a
C9LB,304,1992-01-01,a
C9LC,226,1992-01-01,a
C9LD,1300,1992-01-01,a
C9LF,1302,1992-01-01,a
C9LG,1225,1992-01-01,a
C9LH,428,1992-01-01,a
C9LJ,958,1992-01-01,a
CZG8,19653,1992-01-01,a
CZG9,25563,1992-01-01,a
DB36,23.1,1992-01-01,a
DB37,76.9,1992-01-01,a
G7D6,609,1992-01-01,a
C9K9,2529,1993-01-01,a
C9KA,2787,1993-01-01,a
C9KB,5316,1993-01-01,a
C9KC,515,1993-01-01,a
C9KD,5830,1993-01-01,a
C9KE,601,1993-01-01,a
C9LA,153,1993-01-01,a
C9LB,285,1993-01-01,a
C9LC,228,1993-01-01,a
C9LD,1263,1993-01-01,a
C9LF,1371,1993-01-01,a
C9LG,1204,1993-01-01,a
C9LH,414,1993-01-01,a
C9LJ,913,1993-01-01,a
CZG8,19484,1993-01-01,a
CZG9,25314,1993-01-01,a
DB36,23,1993-01-01,a
DB37,77,1993-01-01,a
G7D6,601,1993-01-01,a
C9K9,2470,1994-01-01,a
C9KA,2752,1994-01-01,a
C9KB,5222,1994-01-01,a
C9KC,446,1994-01-01,a
C9KD,5668,1994-01-01,a
C9KE,578,1994-01-01,a
C9LA,146,1994-01-01,a
C9LB,262,1994-01-01,a
C9LC,228,1994-01-01,a
C9LD,1229,1994-01-01,a
C9LF,1347,1994-01-01,a
C9LG,1189,1994-01-01,a
C9LH,423,1994-01-01,a
C9LJ,843,1994-01-01,a
CZG8,19869,1994-01-01,a
CZG9,25537,1994-01-01,a
DB36,22.2,1994-01-01,a
DB37,77.8,1994-01-01,a
G7D6,578,1994-01-01,a
C9K9,2417,1995-01-01,a
C9KA,2757,1995-01-01,a
C9KB,5174,1995-01-01,a
C9KC,433,1995-01-01,a
C9KD,5607,1995-01-01,a
C9KE,555,1995-01-01,a
C9LA,140,1995-01-01,a
C9LB,241,1995-01-01,a
C9LC,227,1995-01-01,a
C9LD,1198,1995-01-01,a
C9LF,1369,1995-01-01,a
C9LG,1193,1995-01-01,a
C9LH,426,1995-01-01,a
C9LJ,812,1995-01-01,a
CZG8,20205,1995-01-01,a
CZG9,25812,1995-01-01,a
DB36,21.7,1995-01-01,a
DB37,78.3,1995-01-01,a
G7D6,555,1995-01-01,a
C9K9,2379,1996-01-01,a
C9KA,2732,1996-01-01,a
C9KB,5111,1996-01-01,a
C9KC,395,1996-01-01,a
C9KD,5506,1996-01-01,a
C9KE,538,1996-01-01,a
C9LA,129,1996-01-01,a
C9LB,230,1996-01-01,a
C9LC,230,1996-01-01,a
C9LD,1186,1996-01-01,a
C9LF,1365,1996-01-01,a
C9LG,1197,1996-01-01,a
C9LH,420,1996-01-01,a
