code,name,unit,preunit
C9K9,Public Sector Employment by Sector; Central Gov; UK; HC; NSA; Thousands,NA,NA
C9KA,Public Sector Employment by Sector; Local Gov; UK; HC; NSA; Thousands,NA,NA
C9KB,Public Sector Employment by Sector; Total General Gov; UK; HC; NSA; Thousands,NA,NA
C9KC,Public Sector Employment by Sector; Total Public Corps; UK; HC; NSA; Thousands,NA,NA
C9KD,Public Sector Employment by Sector; Total Public Sector; UK; HC; NSA; Thousands,NA,NA
C9KE,Public Sector Employment by Sector; Civil Service; GB; HC; NSA; Thousands,NA,NA
C9KL,Public Sector Employment by Sector; Central Gov; UK; FTE; NSA; Thousands,NA,NA
C9KM,Public Sector Employment by Sector; Local Gov; UK; FTE; NSA; Thousands,NA,NA
C9KN,Public Sector Employment by Sector; Total General Gov; UK; FTE; NSA; Thousands,NA,NA
C9KO,Public Sector Employment by Sector; Total Public Corps; UK; FTE; NSA; Thousands,NA,NA
C9KP,Public Sector Employment by Sector; Total Public Sector; UK; FTE; NSA; Thousands,NA,NA
C9KQ,Public Sector Employment by Sector; Civil Service; GB; FTE; NSA; Thousands,NA,NA
C9LA,Public Sector Employment by Industry; Construction; UK; HC; NSA; Thousands,NA,NA
C9LB,Public Sector Employment by Industry; HM Forces; UK; HC; NSA; Thousands,NA,NA
C9LC,Public Sector Employment by Industry; Police; UK; HC; NSA; Thousands,NA,NA
C9LD,Public Sector Employment by Industry; Public Admin; UK; HC; NSA; Thousands,NA,NA
C9LF,Public Sector Employment by Industry; Education; UK; HC; NSA; Thousands,NA,NA
C9LG,Public Sector Employment by Industry; NHS; UK; HC; NSA; Thousands,NA,NA
C9LH,Public Sector Employment by Industry; Other Health & Social; UK;HC;NSA;Thousands,NA,NA
C9LJ,Public Sector Employment by Industry; Other Public Sector; UK; HC; NSA;Thousands,NA,NA
C9LL,Public Sector Employment by Industry; HM Forces; UK; FTE; NSA; Thousands,NA,NA
C9LM,Public Sector Employment by Industry; Police; UK; FTE; NSA; Thousands,NA,NA
C9LN,Public Sector Employment by Industry; Public Admin; UK; FTE; NSA; Thousands,NA,NA
C9LP,Public Sector Employment by Industry; Education; UK; FTE; NSA; Thousands,NA,NA
C9LQ,Public Sector Employment by Industry; NHS; UK; FTE; NSA; Thousands,NA,NA
C9LR,Public Sector Employment by Industry; Other Health & Social;UK;FTE;NSA;Thousands,NA,NA
C9LT,Public Sector Employment by Industry; Other Public Sector; UK; FTE NSA;Thousands,NA,NA
CZG8,Private Sector Employment: UK; HC; NSA; Thousands,NA,NA
CZG9,Total employment (LFS);UK; HC; NSA; Thousands,NA,NA
DB36,Public sector employment as % of total employment; UK; HC; NSA; percentage,%,NA
DB37,Private sector employment as % of total employment; UK; HC; NSA; Percentage,%,NA
G6NQ,Public Sector Employment by Sector; Central Gov; UK; HC; SA; Thousands,000's,NA
G6NT,Public Sector Employment by Sector; Local Gov; UK ;HC; SA; Thousands,000's,NA
G6NW,Public Sector Employment by Sector; Total General Gov; UK; HC; SA; Thousands,NA,NA
G7AR,Public Sector Employment for Sector; Total Public Corp; HC; SA; Thousands,NA,NA
G7AU,Public Sector Employment by Sector; Total Public Sector; UK; HC; SA; Thousands,000's,NA
G7D6,Public Sector Employment by Sector; Civil Service; GB; HC; SA; Thousands,NA,NA
G7ER,Public Sector Employment by Industry;Construction;UK;HC;SA; Thousands,NA,NA
G7EU,Public Sector Employment by Industry;HM Forces;UK;HC;SA;Thousands,NA,NA
G7EX,Public Sector Employment by Industry;Police;UK;HC;SA;Thousands,NA,NA
G7F2,Public Sector Employment by Industry;Public Admin:UK;HC;SA;Thousands,NA,NA
G7F5,Public Sector Employment by Industry;Education:UK;HC;SA;Thousands.,NA,NA
G7FG,Public Sector Employment by Industry;NHS;UK;HC;SA;Thousands,NA,NA
G7FJ,Public Sector Employment by Industry: Other Health & Social;UK;HC;SA;Thousands,NA,NA
G7FM,Public Sector Employment by Industry;Other Public Sector;UK;HC;SA;Thousands,NA,NA
G7FP,Public Sector Employment by Sector;Central Gov;UK;FTE;SA;Thousands,000's,NA
G7FS,Public Sector Employment by Sector;Local Gov;UK;FTE;SA;Thousands,000's,NA
G7FV,Public Sector Employment by Sector;Total General Gov;UK;FTE;SA;Thousands,NA,NA
G7FY,Public Sector Employment by Sector;Total Public Corps;UK;FTE;SAThousands,NA,NA
G7G3,Public Sector Employment by Sector; Total Public Sector; UK; FTE; SA;Thousands,000's,NA
G7G6,Public Sector Employment by Sector; Civil Service; GB; FTE; SA; Thousands,NA,NA
G7G9,Public Sector Employment by Industry; HM Forces; UK; FTE; SA; Thousands,NA,NA
G7GC,Public Sector Employment by Industry; Police; UK; FTE; SA; Thousands,NA,NA
G7GF,Public Sector Employment by Industry; Public Adm;UK;FTE;SA;Thousands,NA,NA
G7GI,Public Sector Employment by Sector;Education;UK;FTE;SA;Thousands,NA,NA
G7GL,Public Sector Employment by Industry; NHS; UK; FTE; SA; Thousands,NA,NA
G7GO,Total employment (LFS); UK; HC; SA; Thousands,NA,NA
G7GR,Public Sector Employment by Industry;Other Health&Social;UK;FTE;SA;Thousands,NA,NA
G7K2,Public Sector Employment by Industry; Other Public Sector; UK; FTE;SA;Thousands,NA,NA
G7K5,Private Sector Employment: UK; HC; SA; Thousands,NA,NA
G9BZ,Public Sector Employment as % of Total Employment;UK;HC;SA;Percentage,%,NA
G9C2,Private Sector Employment as % of Total Employment;UK;HC;SA;Percentage,%,NA
MFX9,Public Sector Employment excl major reclassifications; UK; HC; NSA; Thousands,NA,NA
MFY2,Public Sector Employment excl major reclassifications; UK; HC; NSA; Percentage,%,NA
MFY3,Private Sector Employment excl major reclassifications: UK; HC; NSA; Thousands,NA,NA
MFY4,Private Sector Employment excl major reclassifications; UK;HC;NSA;Percentage,%,NA
MFY5,Private Sector Employment excl major reclassifications; UK;HC;SA;Percentage,%,NA
MFY7,Public Sector Employment excl major reclassifications; UK; HC; SA; Thousands,NA,NA
MFY9,Public Sector Employment excl major reclassifications; UK; HC; SA; Percentage,%,NA
MFZ2,Private Sector Employment excl major reclassifications: UK; HC; SA; Thousands,NA,NA
