code,name,unit,preunit
A8J8,PS: BoE contribution to PS net debt: £m CPNSA,m,£
AACE,FA: CG: Liabs: Flows: National Savings,NA,NA
AACF,FA: CG: Liabs: Flows: Tax instruments,NA,NA
AACH,FA: CG: Liabs: Flows: Northern Ireland central govt debt,NA,NA
AACI,FA: CG: Liabs: Flows: Government liabilities under ECS,NA,NA
AACL,FA: CG: Liabs: Flows: Government foreign currency debt,NA,NA
AACM,FA: CG: Liabs: Flows: Other government overseas financing,NA,NA
AAEF,LA finance: LA temporary debt #m,NA,NA
AAEJ,LA finance: public corporations debt #m,NA,NA
AAGB,PC finance: net payments of National Savings #m,NA,NA
AAZK,LG: Other: Contribution to PS net cash requirement: £m CPNSA,m,£
ABEC,LG: From central government to local government: £m CPNSA,m,£
ABED,LA finance: Borrowing other than direct from central govt #m,NA,NA
ABEE,LA finance: central government debt #m,NA,NA
ABEG,LG: Net cash requirement: £m CPNSA,m,£
ABEI,PC: From central government to public corporations: £m CPNSA,m,£
ABEJ,Public corporations borrowing other than direct from central govt #m,NA,NA
ABEM,PC: Net cash requirement: £m CPNSA,m,£
ABIF,CG: Net cash requirement: Net acquisition of company securities: £m NSA,m,£
ABLP,CG: Net cash requirement: Cash receipts: HMRC: Social security contributions: £m,NA,NA
ACCJ,CG: Current receipts: Taxes on income: Petroleum revenue tax: £m CPNSA,m,£
ACRV,CG: Tax instruments: £m CPNSA,NA,NA
ACUA,CG: National savings: £m CPNSA,NA,NA
ADAK,LG: Current expenditure: Subsidies: £m CPNSA,m,£
ADDU,LG: Net lending to private sector and Rest of World: £m CPNSA,m,£
ADGI,LA finance: Long term marketable debt #m,NA,NA
ADGJ,LA finance: Long term non-marketable debt #m,NA,NA
ADSE,PC: Capital grants from private sector: £m CPNSA,m,£
AE76,LG: Current expenditure: Market output: P11 & P131:£m,NA,NA
AIIH,CG: Current receipts: Compulsory social contributions: Receivable: £m CPNSA,m,£
AIPA,Central government finance: official reserves: Asset Flow: CP NSA: £m,NA,NA
AIPD,Official reserves outstanding : total #m,NA,NA
AMIO,LA finance: Bank deposits & short-term assets #m,NA,NA
ANBO,PS: Compulsory social contributions (D61): £m CPNSA,m,£
ANBP,PS: Gross Operating Surplus (B.2n): £m CPNSA,m,£
ANBQ,PS: Interest & dividends from private sector and rest of world (D41/42):£m CPNSA,m,£
ANBS,PS: Current receipts: Rent and other current transfers: £m CPNSA,m,£
ANBT,PS: Total current receipts: £m CPNSA,m,£
ANBU,CG: Current receipts: Rent and other current transfers: £m CPNSA,m,£
ANBV,"CG: Total current receipts, receivable: £m CPNSA",m,£
ANBW,LG: Total current receipts: £m CPNSA,m,£
ANBX,LG: Current receipts: Rent and other current transfers: £m CPNSA,m,£
ANBY,GG: Total current receipts: £m CPNSA,m,£
ANBZ,PC: Total current receipts: £m CPNSA,m,£
ANCU,GG: Current receipts: Rent and other current transfers: £m CPNSA,m,£
ANCW,PC: Current receipts: Rent and other current transfers: £m CPNSA,m,£
ANCY,LA Gross fixed capital formation + Land (P51+K2),NA,NA
ANLO,PS: Current exp: Interest & dividends paid to private sector and RoW: £m CPNSA,m,£
ANLP,"CG: Total current expenditure, payable: £m CPNSA",m,£
ANLQ,LG: Total current expenditure: £m CPNSA,m,£
ANLR,GG: Total current expenditure: £m CPNSA,m,£
ANLS,PC: Total current expenditure: £m CPNSA,m,£
ANLT,PS: Total current expenditure: £m CPNSA,m,£
ANLV,CG: Current Budget Deficit: £m CPNSA,m,£
ANLW,GG: Current budget deficit (-B8n+D91): £m CPNSA,m,£
ANLY,PS: Current expenditure: Net social benefits (D62): £m CPNSA,m,£
ANML,LG: Accounts receivable/payable (F7 net): £m CPNSA,m,£
ANMU,PS: Current Budget Deficit (including public sector banks): £m: CPNSA,m,£
ANMW,LG: Other financial transactions: £m CPNSA,m,£
ANMY,CG: Increase in inventories and valuables (P52&P52): £m CPNSA,m,£
