variable,value,dates.date,dates.freq
IHXW,0,1946-01-01,a
IHXW,0,1947-01-01,a
AAXW,573,1948-01-01,a
ABJQ,8426,1948-01-01,a
ABJR,229078,1948-01-01,a
ABMF,13811,1948-01-01,a
ABMG,404371,1948-01-01,a
ABMI,381461,1948-01-01,a
ABML,10380,1948-01-01,a
ABMM,334287,1948-01-01,a
ABMZ,11632,1948-01-01,a
BKTL,11429,1948-01-01,a
BOKG,1665,1948-01-01,a
BOKH,1814,1948-01-01,a
BOKI,-149,1948-01-01,a
BQKO,24371,1948-01-01,a
BQKQ,22855,1948-01-01,a
CAEQ,260,1948-01-01,a
CAER,1693,1948-01-01,a
CAEX,175,1948-01-01,a
CAFU,2727,1948-01-01,a
CAGQ,10313,1948-01-01,a
CAGR,332051,1948-01-01,a
CAGS,10446,1948-01-01,a
CGBV,3.1,1948-01-01,a
CGBX,1354,1948-01-01,a
CGBZ,2027,1948-01-01,a
CGCB,10206,1948-01-01,a
CGCE,16.8,1948-01-01,a
CMVL,1289,1948-01-01,a
DJDS,-133,1948-01-01,a
DMUM,0,1948-01-01,a
DMUN,0,1948-01-01,a
DMUQ,0,1948-01-01,a
DTWL,6449,1948-01-01,a
DTWM,6825,1948-01-01,a
DTWP,376,1948-01-01,a
GIXM,67,1948-01-01,a
GIXQ,-66,1948-01-01,a
GIXS,2236,1948-01-01,a
HAYE,36,1948-01-01,a
HAYO,12218,1948-01-01,a
IHXW,0,1948-01-01,a
IHYA,0.5,1948-01-01,a
IHYB,0.5,1948-01-01,a
IHYC,16.6,1948-01-01,a
IHYD,16.9,1948-01-01,a
IKBB,581,1948-01-01,a
IKBC,635,1948-01-01,a
IKBD,-54,1948-01-01,a
IKBE,23902,1948-01-01,a
IKBF,20034,1948-01-01,a
IKBH,2246,1948-01-01,a
IKBI,2449,1948-01-01,a
IKBJ,-203,1948-01-01,a
IKBK,42079,1948-01-01,a
IKBL,40259,1948-01-01,a
IKBM,1820,1948-01-01,a
KB7D,0,1948-01-01,a
KB7E,0,1948-01-01,a
KB7F,0,1948-01-01,a
KB7K,0,1948-01-01,a
KB7L,0,1948-01-01,a
KB7M,4,1948-01-01,a
KB7N,0,1948-01-01,a
KB7O,0,1948-01-01,a
KB7P,0,1948-01-01,a
KB7Q,4,1948-01-01,a
KB7R,-4,1948-01-01,a
KB7S,0,1948-01-01,a
KB7T,0,1948-01-01,a
KB7U,-1,1948-01-01,a
KB7V,-3,1948-01-01,a
KB7W,0,1948-01-01,a
KB7X,-4,1948-01-01,a
KB7Y,4,1948-01-01,a
KB7Z,0,1948-01-01,a
NHCZ,74,1948-01-01,a
NMRP,1874,1948-01-01,a
NMRY,115938,1948-01-01,a
NPJQ,0,1948-01-01,a
NPJR,0,1948-01-01,a
NPQS,1054,1948-01-01,a
NPQT,27513,1948-01-01,a
NTAB,1862,1948-01-01,a
NTAO,50047,1948-01-01,a
NTAP,1049,1948-01-01,a
YBEU,0.5,1948-01-01,a
YBEX,0.5,1948-01-01,a
YBEZ,17.1,1948-01-01,a
YBFR,16.6,1948-01-01,a
YBFV,3.1,1948-01-01,a
YBGB,3,1948-01-01,a
YBHA,11429,1948-01-01,a
YBIL,11565,1948-01-01,a
YBIM,374029,1948-01-01,a
AAXW,526,1949-01-01,a
ABJQ,8798,1949-01-01,a
ABJR,233102,1949-01-01,a
ABMF,14775,1949-01-01,a
ABMG,419508,1949-01-01,a
ABMI,394097,1949-01-01,a
ABML,11127,1949-01-01,a
ABMM,346529,1949-01-01,a
ABMZ,12358,1949-01-01,a
BKTL,12172,1949-01-01,a
BOKG,1893,1949-01-01,a
BOKH,2028,1949-01-01,a
BOKI,-135,1949-01-01,a
BQKO,26280,1949-01-01,a
BQKQ,25355,1949-01-01,a
CAEQ,353,1949-01-01,a
CAER,1861,1949-01-01,a
CAEX,65,1949-01-01,a
CAFU,-48,1949-01-01,a
CAGQ,11013,1949-01-01,a
CAGR,342838,1949-01-01,a
CAGS,11275,1949-01-01,a
CGBV,3.2,1949-01-01,a
CGBX,1432,1949-01-01,a
CGBZ,2291,1949-01-01,a
CGCB,11009,1949-01-01,a
CGCE,17.4,1949-01-01,a
CMVL,1311,1949-01-01,a
CWNE,17.6,1949-01-01,a
CWNH,6.1,1949-01-01,a
DJDS,-262,1949-01-01,a
DMUM,0,1949-01-01,a
DMUN,0,1949-01-01,a
DMUQ,0,1949-01-01,a
DTWL,6844,1949-01-01,a
DTWM,7286,1949-01-01,a
DTWP,442,1949-01-01,a
GDPQ,3.8,1949-01-01,a
GIXM,114,1949-01-01,a
