code,name,unit,preunit
A24M,"PP: Household final consumption expenditure, growth Q on Q",NA,NA
A24X,"PP: NPISH final consumption expenditure, growth Q on Q",NA,NA
A24Y,"PP: General Government final consumption expenditure, growth Q on Q",NA,NA
A25I,"PP: Gross Capital Formation, growth Q on Q",NA,NA
A25J,"PP: Gross fixed capital formation, growth Q on Q",NA,NA
A25M,"PP: Business investment, growth Q on Q",NA,NA
A264,"PP: Exports, growth Q on Q",NA,NA
A268,"PP: Less imports, growth Q on Q",NA,NA
A26C,"PP: Household final consumption expenditure, growth Q on Q yr ago",NA,NA
A26H,"PP: NPISH final consumption expenditure, growth Q on Q yr ago",%,NA
A26I,"PP: General Government final consumption expenditure, growth Q on Q yr ago",%,NA
A26J,"PP: Gross Capital Formation, growth Q on Q yr ago",%,NA
A26K,"PP: Gross fixed capital formation, growth Q on Q yr ago",%,NA
A26L,"PP: Business investment, growth Q on Q yr ago",%,NA
A26M,"PP: Exports, growth Q on Q yr ago",%,NA
A26N,"PP: Less imports, growth Q on Q yr ago",%,NA
A275,"PP: Household final consumption expenditure, growth annual",%,NA
A276,"PP: NPISH final consumption expenditure, growth annual",%,NA
A289,"PP: General Government final consumption expenditure, growth annual",%,NA
A28J,"PP: Gross Capital Formation, growth annual",NA,NA
A28L,"PP: Gross fixed capital formation, growth annual",%,NA
A29D,"PP: Business investment, growth annual",%,NA
A29F,"PP: Exports, growth annual",%,NA
A2CK,"PP: Less imports, growth annual",%,NA
A2CL,"PP: Compensation of employees, growth Q on Q",%,NA
A2CM,"PP: GOS of corporations, growth Q on Q",%,NA
A2CN,"PP: Other income, growth Q on Q",NA,NA
A2CO,"PP: Taxes less subsidies on products and production, growth Q on Q",NA,NA
A2CP,"PP: Compensation of employees, growth Q on Q yr ago",%,NA
A2CQ,"PP: GOS of corporations, growth Q on Q yr ago",%,NA
A2CR,"PP: Other income, growth Q on Q yr ago",%,NA
A2CS,"PP: Taxes less subsidies on products and production, growth Q on Q yr ago",%,NA
A2CT,"PP: Compensation of employees, growth annual",NA,NA
A2CU,"PP: GOS of corporations, growth annual",%,NA
A2CV,"PP: Other income, growth annual",%,NA
A2CW,"PP: Taxes less subsidies on products and production, growth annual",%,NA
A2CX,"PP: Agriculture, growth Q on Q",%,NA
A2CY,"PP: Total Production, growth Q on Q",%,NA
A2DL,"PP: Manufacturing, growth Q on Q",%,NA
A2DO,"PP: Extraction, growth Q on Q",%,NA
A2DR,"PP: Electricity, growth Q on Q",%,NA
A2DS,"PP: Water and sewerage, growth Q on Q",%,NA
A2DT,"PP: Construction, growth Q on Q",%,NA
A2DU,"PP: Total Services, growth Q on Q",%,NA
A2DV,"PP: Distn, hotels and catering, growth Q on Q",NA,NA
A2DW,"PP: Transport, storage and comms, growth Q on Q",%,NA
A2DX,"PP: Business services and finance, growth Q on Q",%,NA
A2DY,"PP: Government and other, growth Q on Q",%,NA
A2DZ,"PP: Agriculture, growth Q on Q yr ago",%,NA
A2E2,"PP: Total Production, growth Q on Q yr ago",%,NA
A2E3,"PP: Manufacturing, growth Q on Q yr ago",%,NA
A2E4,"PP: Extraction, growth Q on Q yr ago",%,NA
A2E5,"PP: Electricity, gas and air, growth Q on Q yr ago",%,NA
A2EE,"PP: Water and sewerage, growth Q on Q yr ago",%,NA
A2EK,"PP: Construction, growth Q on Q yr ago",%,NA
A2EL,"PP: Total Services, growth Q on Q yr ago",%,NA
A2EM,"PP: Distn, hotels and catering, growth Q on Q yr ago",%,NA
A2EN,"PP: Transport, storage and comms, growth Q on Q yr ago",%,NA
A2EO,"PP: Business services and finance, growth Q on Q yr ago",%,NA
A2EP,"PP: Government and other, growth Q on Q yr ago",NA,NA
A2EQ,"PP: Agriculture, growth annual",%,NA
A2ER,"PP: Total Production, growth annual",%,NA
A2ES,"PP: Manufacturing, growth annual",%,NA
A2ET,"PP: Extraction, growth annual",%,NA
A2EU,"PP: Electricity, gas and air, growth annual",%,NA
A2EV,"PP: Water and sewerage, growth annual",%,NA
A2EW,"PP: Construction, growth annual",NA,NA
A2EY,"PP: Total Services, growth annual",%,NA
A2F2,"PP: Distn, hotels and catering, growth annual",%,NA
A2F3,"PP: Transport, storage and comms, growth annual",%,NA
A2F4,"PP: Business services and finance, growth annual",%,NA
A2F5,"PP: Government and other, growth annual",%,NA
A8L9,"Gross Domestic Product at market prices, q-on-q1 growth: CP: NSA £m",NA,NA
A8LA,"Gross Domestic Product at market prices, q-on-q4 growth: CP: NSA £m",NA,NA
AAXW,General govt : subsidies - CYSA,NA,NA
ABJQ,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,m,£
ABJR,Household final consumption expenditure :National concept CVM SA - £m,m,£
ABMF,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,m,£
ABMG,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,m,£
ABMI,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,m,£
ABML,Gross Value Added (Average) at basic prices: CP SA £m,m,£
ABMM,Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,m,£
ABMZ,Gross National Income: Current price: Seasonally adjusted £m,m,£
ABTF,Household final consumption expenditure: Net tourist expenditure CP SA £m,m,£
ABTH,Household final consumption expenditure :Net tourist expenditure CVM SA £m,£m,NA
ACAC,Central Government: Consolidated fund Cash receipts from Customs & Excise: £m,NA,NA
ACCD,CG: Current receipts: Taxes on income: Corporation tax: £m CPNSA,NA,NA
ACCI,HMRC : stamp duty receipts UK Total £ million,NA,NA
ACDD,Customs & Excise : hydrocarbon oils duty receipts £ million,NA,NA
ACDE,Customs & Excise : tobacco duty receipts £ million,NA,NA
ACDF,Customs & Excise : spirit duty receipts £ million,NA,NA
ACDG,Customs & Excise : beer duty receipts £ million,NA,NA
ACDH,Customs & Excise : wine duty receipts £ million,NA,NA
ACDI,"Customs & Excise : made-wine , cider & perry duty receipts £ million",NA,NA
ACDJ,Customs & Excise : betting & gaming levy receipts £ million,NA,NA
ACDO,Customs & Excise: Insurance Premium Tax £ million,NA,NA
ACDP,Customs & Excise: Air Passenger Duty £ million,NA,NA
ACJY,Central govt : accruals adjustment : social security contributions,NA,NA
AIPA,Central government finance: official reserves: Asset Flow: CP NSA: £m,NA,NA
AUYN,Money stock M4 (end period) : level £m Seas Adj,NA,NA
AVAB,Notes & coins in circulation outside Bank of England (BOE): level SA £m,NA,NA
BKSG,Public expenditure: Vocational Training Relief (VTR),NA,NA
BKSH,Public expenditure: Charities,NA,NA
BKSP,PC liquid assets: level: bank and building society deposits,NA,NA
BKSQ,PC liquid assets: level: PC other short term liquid assets,NA,NA
BKTL,Gross Domestic Product at market prices: CP: NSA £m,m,£
BOKG,Trade in Goods (T): WW: Exports: BOP: CP: SA,m,£
BOKH,Trade in Goods (T): WW: Imports: BOP: CP: SA,m,£
BOKI,Trade in Goods (T): WW: Balance: BOP: CP: SA,m,£
BQKO,Trade in Goods (T): WW: Imports: BOP: CVM: SA,m,£
BQKQ,Trade in Goods (T): WW: Exports: BOP: CVM: SA,m,£
CAEQ,Gross Operating Surplus: NFCos: Public: Current price: SA £m,m,£
CAER,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: CP £m: SA,m,£
CAES,Net income from abroad: Current price: Seasonally adjusted £m,m,£
CAEX,Changes in inventories (CP SA) including alignment adjustment £m,m,£
CAFU,Changes in inventories including alignment adjustment - CVM NAYear SA £m,m,£
CAGQ,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,m,£
CAGR,Gross Domestic Product (Expenditure) chained volume measure SA £m,m,£
CAGS,Gross Domestic Product (Income) current basic prices: aligned: SA £m,m,£
CEAN,CG : employers social security contributions (accrued),NA,NA
CFGW,ESA: Tax credits - NPISH: NSA:,NA,NA
CGBV,Gross Value Added at basic prices: Implied deflator:SA,"Index, last full year = 100",NA
CGBX,Income based: Other income: CP SA £m,m,£
