code,name,unit,preunit
DJDO,GVA per filled job: GOR North East(UK=100),NA,NA
DJDP,GVA per filled job: GOR North West & Merseyside (Index UK=100),NA,NA
DMBC,GVA per filled job: GOR Yorkshire & Humberside (Index UK=100),NA,NA
DMBE,GVA per filled job: GOR East Midlands (Index UK=100),NA,NA
DMDN,GVA per filled job: GOR West Midlands (Index UK=100),NA,NA
DMDQ,GVA per filled job: GOR East (Index UK=100),NA,NA
DMGH,GVA per filled job: GOR London (Index UK=100),NA,NA
DMGJ,GVA per filled job: GOR South East (Index UK=100),NA,NA
DMGK,GVA per filled job: GOR South West (Index UK=100),NA,NA
DMGL,GVA per filled job: GOR England (Index UK=100),NA,NA
DMGM,GVA per filled job: GOR Wales (Index UK=100),NA,NA
DMGX,GVA per filled job: GOR Scotland (Index UK=100),NA,NA
DMOA,GVA per filled job: GOR Northern Ireland (Index UK=100),NA,NA
DMOB,GVA per hour worked: GOR North East (Index UK=100),NA,NA
DMOH,GVA per hour worked: GOR North West & Merseyside (Index UK=100),NA,NA
DMOK,GVA per hour worked: GOR Yorkshire & Humberside (Index UK=100),NA,NA
DMOL,GVA per hour worked: GOR East Midlands (Index UK=100),NA,NA
DMON,GVA per hour worked: GOR West Midlands (Index UK=100),NA,NA
DMOO,GVA per hour worked: GOR East (Index UK=100),NA,NA
DMOR,GVA per hour worked: GOR London (Index UK=100),NA,NA
DMOS,GVA per hour worked: GOR South East (Index UK=100),NA,NA
DMOT,GVA per hour worked: GOR South West (Index UK=100),NA,NA
DMOV,GVA per hour worked: GOR England (Index UK=100),NA,NA
DMOW,GVA per hour worked: GOR Wales (Index UK=100),NA,NA
DMOY,GVA per hour worked: GOR Scotland (Index UK=100),NA,NA
DMWA,GVA per hour worked: GOR Northern Ireland Index UK=100),NA,NA
