variable,value,dates.date,dates.freq
JQ4O,0,1998-01-01,a
JQ4P,0,1998-01-01,a
JQV2,7197.4,1998-01-01,a
D3L8,0,1998-01-01,a
JQ4S,8088.2,1998-01-01,a
JQV5,7907.3,1998-01-01,a
JQ4T,8307.8,1998-01-01,a
JQ55,0,1998-01-01,a
JQ4Q,0,1998-01-01,a
JQV3,2208.4,1998-01-01,a
JQ4R,219.5,1998-01-01,a
JQV4,5699.1,1998-01-01,a
D3L4,0,1998-01-01,a
JQ4W,12817.4,1998-01-01,a
JQ4U,1143.1,1998-01-01,a
JQ56,0,1998-01-01,a
JQ4V,11674,1998-01-01,a
JQ57,0,1998-01-01,a
JQ5H,40.6,1998-01-01,a
JQF9,8531.1,1998-01-01,a
JQ5I,2820.2,1998-01-01,a
JQF8,3219.1,1998-01-01,a
JQ5J,2861,1998-01-01,a
JQ3N,0,1998-01-01,a
JQ3O,12129.8,1998-01-01,a
JQ3M,3622.9,1998-01-01,a
JQ3R,23323.4,1998-01-01,a
JQU4,729.9,1998-01-01,a
JQ3S,16109.6,1998-01-01,a
JQ44,0,1998-01-01,a
JQ3P,9895,1998-01-01,a
JQU2,163.9,1998-01-01,a
JQ3Q,0,1998-01-01,a
JQU3,566.1,1998-01-01,a
JQ3V,7827.2,1998-01-01,a
JQU8,399.1,1998-01-01,a
JQ3W,0,1998-01-01,a
JQU9,6798.3,1998-01-01,a
JQ45,0,1998-01-01,a
JQ46,0,1998-01-01,a
JQ3Z,0,1998-01-01,a
JT27,358947.7,1998-01-01,a
JT28,471937.2,1998-01-01,a
JQ4C,0,1998-01-01,a
JQ4D,0,1998-01-01,a
JQ4B,3502.9,1998-01-01,a
JQ4E,0,1998-01-01,a
JQ4K,5974.2,1998-01-01,a
JQ4I,297.6,1998-01-01,a
JQ4J,5677,1998-01-01,a
JQ6Q,13586.5,1998-01-01,a
JQ72,5799.1,1998-01-01,a
JQ6R,14270.2,1998-01-01,a
JQ73,2587.5,1998-01-01,a
JQ6P,683.4,1998-01-01,a
JQ76,872,1998-01-01,a
JQX7,644,1998-01-01,a
JQ6V,738.9,1998-01-01,a
JQ77,2720,1998-01-01,a
JQX8,1438.4,1998-01-01,a
JQ74,2391.6,1998-01-01,a
JQX5,186.6,1998-01-01,a
JQ75,4979.2,1998-01-01,a
JQX6,457.3,1998-01-01,a
JQ6Y,1740.4,1998-01-01,a
JQ6Z,4059,1998-01-01,a
JQ6W,2665.8,1998-01-01,a
JQ78,3591.8,1998-01-01,a
JQX9,1921.7,1998-01-01,a
JQ6X,3404.9,1998-01-01,a
JQ79,2041.1,1998-01-01,a
JQ7B,2934.4,1998-01-01,a
JSL5,24456.7,1998-01-01,a
JQ7C,5092.8,1998-01-01,a
DYQO,0,1998-01-01,a
JQ7A,893.3,1998-01-01,a
JQ7D,6135.5,1998-01-01,a
JQ7E,11228.5,1998-01-01,a
JQ7J,5022.5,1998-01-01,a
JQ7K,9396.1,1998-01-01,a
JQ7I,4373.7,1998-01-01,a
