code,name,unit,preunit
JQ4O,UKProdTO: 10.5 - Manufacture of dairy products EXPORT (£m),NA,NA
JQ4P,UKProdTO: 10.5 - Manufacture of dairy products HOME (£m),NA,NA
JQV2,UKProdTO: 31 - Manufacture of Furniture TOTAL (£m),NA,NA
D3L8,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats EXPORT (£m),NA,NA
JQ4S,UKProdTO: 10.7 - Manufacture of bakery and farinaceous products HOME (£m),NA,NA
JQV5,UKProdTO: 32 - Other manufactured goods TOTAL (£m),NA,NA
JQ4T,UKProdTO: 10.7 - Manufacture of bakery and farinaceous products TOTAL (£m),NA,NA
JQ55,UKProdTO: 10.9 - Manufacture of prepared animal feeds EXPORT (£m),NA,NA
JQ4Q,UKProdTO: 10.5 - Manufacture of dairy products TOTAL (£m),NA,NA
JQV3,UKProdTO: 32 - Other manufactured goods EXPORT (£m),NA,NA
JQ4R,UKProdTO: 10.7 - Manufacture of bakery and farinaceous products EXPORT (£m),NA,NA
JQV4,UKProdTO: 32 - Other manufactured goods HOME (£m),NA,NA
D3L4,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats TOTAL (£m),NA,NA
JQ4W,UKProdTO: 10.8 - Manufacture of other food products TOTAL (£m),NA,NA
JQ4U,UKProdTO: 10.8 - Manufacture of other food products EXPORT (£m),NA,NA
JQ56,UKProdTO: 10.9 - Manufacture of prepared animal feeds HOME (£m),NA,NA
JQ4V,UKProdTO: 10.8 - Manufacture of other food products HOME (£m),NA,NA
JQ57,UKProdTO: 10.9 - Manufacture of prepared animal feeds TOTAL (£m),NA,NA
JQ5H,UKProdTO: 11.07 - Mfr soft drinks: prodn mineral/other bottled water EXPORT (£m),NA,NA
JQF9,UKProdTO: 27 - Manufacture of Electrical Equipment HOME (£m),NA,NA
JQ5I,UKProdTO: 11.07 - Manuf soft drinks: prodn mineral/other bottled water HOME (£m),NA,NA
JQF8,UKProdTO: 27 - Manufacture of Electrical Equipment EXPORT (£m),NA,NA
JQ5J,UKProdTO: 11.07 - Mfr soft drinks: prodn mineral/other bottled water TOTAL (£m),NA,NA
JQ3N,GBServTO: 68.3 - Real estate activities on a fee or contract basis TOTAL (£m),NA,NA
JQ3O,GBServTO: 69.1 - Legal activities TOTAL (£m),NA,NA
JQ3M,GBServTO: 63 - Information services TOTAL (£m),NA,NA
JQ3R,GBServTO: 71 - Architcture/engineerng serv; technical testng/analysis TOTAL (£m),NA,NA
JQU4,UKProdTO: 30OTHER - Manufacture of other transport equipment TOTAL (£m),NA,NA
JQ3S,GBServTO: 73 - Advertising & market research services TOTAL (£m),NA,NA
JQ44,GBServTO: 80 - Security & investigation services TOTAL (£m),NA,NA
JQ3P,GBServTO: 69.2 - Accountng bookkeepng auditing activ: tax consultancy TOTAL (£m),NA,NA
JQU2,UKProdTO: 30OTHER - Manufacture of other transport equipment EXPORT (£m),NA,NA
JQ3Q,GBServTO: 70.2 - Management consulting services TOTAL (£m),NA,NA
JQU3,UKProdTO: 30OTHER - Manufacture of other transport equipment HOME (£m),NA,NA
JQ3V,"GBServTO: 74 - Other professional, scientific and technical services TOTAL (£m",NA,NA
JQU8,UKProdTO: 31 - Manufacture of Furniture EXPORT (£m),NA,NA
JQ3W,GBServTO: 78 - Employment services TOTAL (£m),NA,NA
JQU9,UKProdTO: 31 - Manufacture of Furniture HOME (£m),NA,NA
JQ45,GBServTO: 81.2 - Cleaning activities TOTAL (£m),NA,NA
JQ46,"GBServTO: 82 - Office admin, office support & other business support TOTAL (£m",NA,NA
JQ3Z,"GBServTO: 79 - Travel agency, tour operator/oth reservation services TOTAL (£m",NA,NA
JT27,UKManufTO: 10-33 - UK Manufacturing TOTAL (£m),NA,NA
JT28,GBServTO: 45-96 - GB Services TOTAL (£m),NA,NA
JQ4C,"UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products EXPORT (£m",NA,NA
JQ4D,"UKProdTO: 10.1 - Processing/preserving of meat, prodn of meat products HOME (£",NA,NA
JQ4B,UKProdTO: 07-08 - Other mining & quarrying TOTAL (£m),NA,NA
JQ4E,"UKProdTO: 10.1 - Processing/preserving meat, prodn of meat products TOTAL (£m)",NA,NA
JQ4K,UKProdTO: 10.2-3 - Prcessin/preserv fish crustacean mollusc fruit veg TOTAL (£m),NA,NA
JQ4I,UKProdTO: 10.2-3 - Process/preserv fish crustacean mollusc fruit veg EXPORT (£m),NA,NA
JQ4J,UKProdTO: 10.2-3 - Prcessng/preserv fish crustacean mollusc fruit veg HOME (£m),NA,NA
JQ6Q,UKProdTO: 18 - Printing & reproduction of recorded media HOME (£m),NA,NA
JQ72,"UKProdTO: 20.4 - Manuf soap/detergents, cleaning/polishing, perfume TOTAL (£m)",NA,NA
JQ6R,UKProdTO: 18 - Printing & reproduction of recorded media TOTAL (£m),NA,NA
JQ73,UKProdTO: 20.5 - Manufacture of other chemical products EXPORT (£m),NA,NA
JQ6P,UKProdTO: 18 - Printing & reproduction of recorded media EXPORT (£m),NA,NA
JQ76,"UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers EXPORT (£m)",NA,NA
JQX7,UKProdTO: 33.15 - Repair & maintenance of ships and boats TOTAL (£m),NA,NA
JQ6V,"UKProdTO: 20.3 - Mfr paint varnish & similar, printing ink & mastics EXPORT (£",NA,NA
JQ77,"UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers HOME (£m)",NA,NA
JQX8,UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft EXPORT (£m),NA,NA
JQ74,UKProdTO: 20.5 - Manufacture of other chemical products HOME (£m),NA,NA
JQX5,UKProdTO: 33.15 - Repair & maintenance of ships and boats EXPORT (£m),NA,NA
JQ75,UKProdTO: 20.5 - Manufacture of other chemical products TOTAL (£m),NA,NA
JQX6,UKProdTO: 33.15 - Repair & maintenance of ships and boats HOME (£m),NA,NA
JQ6Y,"UKProdTO: 20.4 - Manuf soap/detergents, cleaning/polishing, perfume EXPORT (£m",NA,NA
JQ6Z,"UKProdTO: 20.4 - Manuf of soap/detergents, cleaning/polishing, perfume HOME (£",NA,NA
JQ6W,"UKProdTO: 20.3 - Manuf paint varnish & similar, printing ink & mastics HOME (£",NA,NA
JQ78,"UKProdTO: 20A - Manuf industrial gases, inorganics & fertilisers TOTAL (£m)",NA,NA
JQX9,UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft HOME (£m),NA,NA
JQ6X,"UKProdTO: 20.3 - Mfr paint varnish & similar, printing ink & mastics TOTAL (£m",NA,NA
JQ79,"UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals EXPORT (£m)",NA,NA
JQ7B,"UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals TOTAL (£m)",NA,NA
JSL5,GBServTO: 85.32-60 - Techncal/vocational/secndry/higher/oth education TOTAL (£m),NA,NA
JQ7C,UKProdTO: 20B - Manufacture of petrochemicals EXPORT (£m),NA,NA
DYQO,GBServTO: 53 - Postal and courier services TOTAL (£m),NA,NA
JQ7A,"UKProdTO: 20C - Manufacture of dyestuffs, agro-chemicals HOME (£m)",NA,NA
JQ7D,UKProdTO: 20B - Manufacture of petrochemicals HOME (£m),NA,NA
JQ7E,UKProdTO: 20B - Manufacture of petrochemicals TOTAL (£m),NA,NA
JQ7J,UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations HOME (£m),NA,NA
JQ7K,UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations TOTAL (£m),NA,NA
JQ7I,UKProdTO: 21 - Manuf of Basic Pharmaceutical Products & Preparations EXPORT (£m),NA,NA
JQ7N,UKProdTO: 22 - Manufacture of Rubber and Plastic Products TOTAL (£m),NA,NA
JQ7L,UKProdTO: 22 - Manufacture of Rubber and Plastic Products EXPORT (£m),NA,NA
JQ7M,UKProdTO: 22 - Manufacture of Rubber and Plastic Products HOME (£m),NA,NA
JQ5Q,UKProdTO: 13 - Manufacture of textiles EXPORT (£m),NA,NA
JQ65,UKProdTO: 14 - Manufacture of wearing apparel HOME (£m),NA,NA
JQ66,UKProdTO: 14 - Manufacture of wearing apparel TOTAL (£m),NA,NA
JQ5R,UKProdTO: 13 - Manufacture of textiles HOME (£m),NA,NA
JT3M,GBServTO: 77 - Rental & leasing services TOTAL (£m),NA,NA
JQ5S,UKProdTO: 13 - Manufacture of textiles TOTAL (£m),NA,NA
JQ64,UKProdTO: 14 - Manufacture of wearing apparel EXPORT (£m),NA,NA
JQ69,UKProdTO: 15 - Manufacture of Leather and related products TOTAL (£m),NA,NA
JQO2,"UKProdTO: 29 - Manuf of Motor vehicles, trailers & semi trailers EXPORT (£m)",NA,NA
JQO3,"UKProdTO: 29 - Manufacture of Motor vehicles, trailers & semi trailers HOME (£",NA,NA
JQ67,UKProdTO: 15 - Manufacture of Leather and related products EXPORT (£m),NA,NA
JQ68,UKProdTO: 15 - Manufacture of Leather and related products HOME (£m),NA,NA
JQO4,"UKProdTO: 29 - Manuf of Motor vehicles, trailers & semi trailers TOTAL (£m)",NA,NA
JQ6A,UKProdTO: 16 - Mfr Wood/cork prods excl. frniture; articles of straw EXPORT (£m),NA,NA
JQG2,UKProdTO: 27 - Manufacture of Electrical Equipment TOTAL (£m),NA,NA
JQ6B,UKProdTO: 16 - Mfr Wood/cork prods excl. furniture; articles of straw HOME (£m),NA,NA
JSK8,GBServTO: 75 - Veterinary activities TOTAL (£m),NA,NA
JSK9,GBServTO: 72 - Scientific research & development services TOTAL (£m),NA,NA
JQ6C,UKProdTO: 16 - Mfr Wood/cork prods excl. furniture; articles of straw TOTAL (£m),NA,NA
JQ6I,UKProdTO: 17 - Manufacture of Paper & paper products TOTAL (£m),NA,NA
JQ6G,UKProdTO: 17 - Manufacture of Paper & paper products EXPORT (£m),NA,NA
JQ6H,UKProdTO: 17 - Manufacture of Paper & paper products HOME (£m),NA,NA
JQZ3,UKProdTO: 33OTHER - Other repair; installation & maintenance TOTAL (£m),NA,NA
JQ98,UKProdTO: 25.4 - Manufacture of weapons and ammunition HOME (£m),NA,NA
JQ99,UKProdTO: 25.4 - Manufacture of weapons and ammunition TOTAL (£m),NA,NA
JQR2,UKProdTO: 30.1 - Building of ships and boats EXPORT (£m),NA,NA
JQZ7,UKProdTO: 37 - Sewerage services; sewage sludge TOTAL (£m),NA,NA
JQ97,UKProdTO: 25.4 - Manufacture of weapons and ammunition EXPORT (£m),NA,NA
JQR3,UKProdTO: 30.1 - Building of ships and boats HOME (£m),NA,NA
JQR4,UKProdTO: 30.1 - Building of ships and boats TOTAL (£m),NA,NA
JQJ6,UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. EXPORT (£m),NA,NA
JQJ7,UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. HOME (£m),NA,NA
JQJ8,UKProdTO: 28 - Manufacture of machinery and equipment n.e.c. TOTAL (£m),NA,NA
JR3D,GBServTO: 86 - Human health services TOTAL (£m),NA,NA
JQ83,UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cement/plast HOME (£m),NA,NA
JQ84,UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cement/plast TOTAL (£m),NA,NA
JQY2,UKProdTO: 33.16 - Repair & maintenance of aircraft & spacecraft TOTAL (£m),NA,NA
JQ82,UKProdTO: 23.5-6 - Mfr cment/lime/plast; articles cncret/cment/plast EXPORT (£m),NA,NA
JQ88,UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods EXPORT (£m),NA,NA
JQY9,UKProdTO: 33OTHER - Other repair; installation & maintenance EXPORT (£m),NA,NA
JQ89,UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods HOME (£m),NA,NA
JR22,"UKProdTO: 38-39 - Waste cllectn/disposal, Remediation, oth waste mgmt TOTAL (£",NA,NA
JSM2,"GBServTO: 90 - Creative, arts and entertainment services TOTAL (£m)",NA,NA
JSM3,"GBServTO: 91 - Library, archive, museum and other cultural services TOTAL (£m)",NA,NA
JSM6,GBServTO: 95 - Repair servs of computers/personal & household goods TOTAL (£m),NA,NA
JQ8A,UKProdTO: 23OTHER - Manuf glass clay porcelain ceramic stone prods TOTAL (£m),NA,NA
JQ8H,UKProdTO: 24.4-5 - Manufacture of other basic metals and casting EXPORT (£m),NA,NA
JQ8I,UKProdTO: 24.4-5 - Manufacture of other basic metals and casting HOME (£m),NA,NA
JQA2,"UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products TOTAL (£m)",NA,NA
JQ8J,UKProdTO: 24.4-5 - Manufacture of other basic metals and casting TOTAL (£m),NA,NA
JQZ2,UKProdTO: 33OTHER - Other repair; installation & maintenance HOME (£m),NA,NA
JQ2N,"GBServTO: 46 - Wholesale trade serv, except mtr vehicles/motorcycles TOTAL (£m",NA,NA
JQ32,GBServTO: 52 - Warehousing and support services for transportation TOTAL (£m),NA,NA
D439,UKProdTO: 11.01-06+12 - Manufacture of alcoholic beverages and tobacco HOME (£m),NA,NA
JQ37,GBServTO: 56 - Food & beverage serving services TOTAL (£m),NA,NA
JQ34,GBServTO: 55 - Accommodation services TOTAL (£m),NA,NA
D42V,"UKProdTO: 10.6 - Manuf grain mill products, starches & starch products HOME (£",NA,NA
JQ2Y,GBServTO: 49.3-5 - Land trnsprt/trnsprt via pipeline excl. rail trans TOTAL (£m),NA,NA
D42R,UKProdTO: 10.4 - Manufacture of vegetable and animal oils and fats HOME (£m),NA,NA
JQ3B,GBServTO: 58 - Publishing services TOTAL (£m),NA,NA
JQ3C,"GBServTO: 59 - Motion pic, vid/tv prod; sound recrdin/music publshing TOTAL (£",NA,NA
D3QJ,UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco EXPORT (£m),NA,NA
D3QI,UKProdTO: 11.01-06+12 - Manuf of alcoholic beverages and tobacco TOTAL (£m),NA,NA
JQ3D,GBServTO: 60 - Programming & broadcasting services TOTAL (£m),NA,NA
D3QF,"UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products EXPORT (£m",NA,NA
JQ3E,GBServTO: 61 - Telecommunications services TOTAL (£m),NA,NA
D3QE,"UKProdTO: 10.6 - Manuf grain mill prods, starches & starch products TOTAL (£m)",NA,NA
JQ3I,"GBServTO: 62 - Computer programming, consultancy & related services TOTAL (£m)",NA,NA
JQ9T,UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapons/ammuntion HOME (£m),NA,NA
JQ9U,UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapons/ammuntion TOTAL (£m),NA,NA
JR3K,GBServTO: 93 - Sporting services and amusement & recreation services TOTAL (£m),NA,NA
JQ9S,UKProdTO: 25OTHER - Mfr fabricatd metal prods excl. weapns/ammuntion EXPORT (£m),NA,NA
JQ9Y,"UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products EXPORT (£m)",NA,NA
JR3P,GBServTO: 96.01-03 - Other personal serv excl. phys wellbeing/other TOTAL (£m),NA,NA
JQS6,UKProdTO: 30.3 - Manuf of Air & spacecraft and related machinery EXPORT (£m),NA,NA
JQS7,UKProdTO: 30.3 - Manufacture of Air & spacecraft and related machinery HOME (£m),NA,NA
JQ9Z,"UKProdTO: 26 - Manuf of Computer, Electronic and Optical Products HOME (£m)",NA,NA
JQS8,UKProdTO: 30.3 - Manuf of Air & spacecraft and related machinery TOTAL (£m),NA,NA
JQ2J,GBServTO: 45 - Wholesale/retail trade; repair mtr vehicles/mtorcycles TOTAL (£m),NA,NA
