variable,value,dates.date,dates.freq
FZLN,71.7,1955-01-01,a
LNNK,5.1,1955-01-01,a
LNNL,4.6,1955-01-01,a
DMWN,6.6,1956-01-01,a
FZLN,71.8,1956-01-01,a
FZLR,0.3,1956-01-01,a
LNNK,5.5,1956-01-01,a
LNNL,4.9,1956-01-01,a
LOJE,6.8,1956-01-01,a
DMWN,3.3,1957-01-01,a
FZLN,71.6,1957-01-01,a
FZLR,-0.3,1957-01-01,a
LNNK,5.7,1957-01-01,a
LNNL,5.1,1957-01-01,a
LOJE,3.2,1957-01-01,a
DMWN,2.5,1958-01-01,a
FZLN,70.5,1958-01-01,a
FZLR,-1.6,1958-01-01,a
LNNK,5.8,1958-01-01,a
LNNL,5.2,1958-01-01,a
LOJE,1.9,1958-01-01,a
DMWN,0.8,1959-01-01,a
FZLN,70.1,1959-01-01,a
FZLR,-0.6,1959-01-01,a
LNNK,5.8,1959-01-01,a
LNNL,5.3,1959-01-01,a
LOJE,0.7,1959-01-01,a
DMWN,0.4,1960-01-01,a
FZLN,68.3,1960-01-01,a
FZLR,-2.5,1960-01-01,a
LNNK,5.9,1960-01-01,a
LNNL,5.3,1960-01-01,a
LOJE,0.8,1960-01-01,a
DMWN,5.1,1961-01-01,a
FZLN,69.4,1961-01-01,a
FZLR,1.6,1961-01-01,a
LNNK,6.2,1961-01-01,a
LNNL,5.5,1961-01-01,a
LOJE,4.9,1961-01-01,a
DMWN,4,1962-01-01,a
FZLN,69.6,1962-01-01,a
FZLR,0.3,1962-01-01,a
LNNK,6.4,1962-01-01,a
LNNL,5.8,1962-01-01,a
LOJE,3.9,1962-01-01,a
DMWN,-0.1,1963-01-01,a
FZLN,70.3,1963-01-01,a
FZLR,1,1963-01-01,a
LNNK,6.4,1963-01-01,a
LNNL,5.8,1963-01-01,a
LOJE,-0.6,1963-01-01,a
DMWN,2.1,1964-01-01,a
FZLN,69.9,1964-01-01,a
FZLR,-0.6,1964-01-01,a
LNNK,6.5,1964-01-01,a
LNNL,5.9,1964-01-01,a
LOJE,2.4,1964-01-01,a
DMWN,5.5,1965-01-01,a
FZLN,70,1965-01-01,a
FZLR,0.1,1965-01-01,a
LNNK,6.8,1965-01-01,a
LNNL,6.2,1965-01-01,a
LOJE,4.9,1965-01-01,a
DMWN,5.9,1966-01-01,a
FZLN,70.7,1966-01-01,a
FZLR,1.1,1966-01-01,a
LNNK,7.2,1966-01-01,a
LNNL,6.6,1966-01-01,a
LOJE,5.4,1966-01-01,a
DMWN,2.1,1967-01-01,a
FZLN,70.3,1967-01-01,a
FZLR,-0.6,1967-01-01,a
LNNK,7.3,1967-01-01,a
LNNL,6.7,1967-01-01,a
LOJE,1.5,1967-01-01,a
DMWN,1.4,1968-01-01,a
FZLN,68.9,1968-01-01,a
FZLR,-1.9,1968-01-01,a
LNNK,7.4,1968-01-01,a
LNNL,6.8,1968-01-01,a
LOJE,0.8,1968-01-01,a
DMWN,4.8,1969-01-01,a
FZLN,67.7,1969-01-01,a
FZLR,-1.8,1969-01-01,a
LNNK,7.7,1969-01-01,a
LNNL,7.1,1969-01-01,a
LOJE,5.1,1969-01-01,a
DMWN,9.2,1970-01-01,a
FZLN,67.1,1970-01-01,a
FZLR,-0.9,1970-01-01,a
LNNK,8.4,1970-01-01,a
LNNL,7.8,1970-01-01,a
LOJE,9.2,1970-01-01,a
DMWN,6,1971-01-01,a
FZLN,65.8,1971-01-01,a
FZLR,-1.9,1971-01-01,a
FZLT,3.9,1971-01-01,a
LNNK,8.9,1971-01-01,a
LNNL,8.3,1971-01-01,a
LOJE,5.5,1971-01-01,a
DMWN,8.5,1972-01-01,a
FZLN,65.2,1972-01-01,a
FZLR,-1,1972-01-01,a
FZLT,4.3,1972-01-01,a
FZLX,11.7,1972-01-01,a
LNNK,9.6,1972-01-01,a
LNNL,9,1972-01-01,a
LOJE,7.8,1972-01-01,a
DMWN,8.6,1973-01-01,a
FZLN,64.7,1973-01-01,a
FZLR,-0.6,1973-01-01,a
FZLT,4.9,1973-01-01,a
FZLX,13.9,1973-01-01,a
LNNK,10.3,1973-01-01,a
LNNL,9.7,1973-01-01,a
LOJE,7.8,1973-01-01,a
DMWN,21.9,1974-01-01,a
FZLN,67.9,1974-01-01,a
FZLR,4.8,1974-01-01,a
FZLT,5.9,1974-01-01,a
FZLX,19.8,1974-01-01,a
LNNK,12.5,1974-01-01,a
LNNL,11.9,1974-01-01,a
LOJE,21,1974-01-01,a
DMWN,32.2,1975-01-01,a
FZLN,70.8,1975-01-01,a
FZLR,4.3,1975-01-01,a
FZLT,7.8,1975-01-01,a
FZLX,33,1975-01-01,a
LNNK,16.5,1975-01-01,a
LNNL,15.7,1975-01-01,a
LOJE,31.4,1975-01-01,a
DMWN,11.1,1976-01-01,a
FZLN,69,1976-01-01,a
FZLR,-2.6,1976-01-01,a
FZLT,9,1976-01-01,a
FZLX,15.2,1976-01-01,a
LNNK,18,1976-01-01,a
LNNL,17.4,1976-01-01,a
LOJE,9.3,1976-01-01,a
DMWN,7.5,1977-01-01,a
FZLN,64.9,1977-01-01,a
FZLR,-5.9,1977-01-01,a
FZLT,9.8,1977-01-01,a
FZLX,9.1,1977-01-01,a
LNNK,19.4,1977-01-01,a
LNNL,18.7,1977-01-01,a
LOJE,8,1977-01-01,a
DMWN,10,1978-01-01,a
FZLN,63.6,1978-01-01,a
FZLR,-2,1978-01-01,a
FZLT,11.1,1978-01-01,a
FZLX,13.1,1978-01-01,a
LNNK,21.4,1978-01-01,a
LNNL,20.6,1978-01-01,a
LOJE,10.5,1978-01-01,a
DMWN,13.5,1979-01-01,a
FZLN,63.1,1979-01-01,a
FZLR,-0.8,1979-01-01,a
FZLT,12.9,1979-01-01,a
FZLX,16,1979-01-01,a
LNNK,24.4,1979-01-01,a
LNNL,23.4,1979-01-01,a
LOJE,13.9,1979-01-01,a
DMWN,21.1,1980-01-01,a
FZLN,63.9,1980-01-01,a
FZLR,1.2,1980-01-01,a
FZLT,15.6,1980-01-01,a
FZLX,21,1980-01-01,a
LNNK,29.6,1980-01-01,a
LNNL,28.3,1980-01-01,a
LOJE,21.2,1980-01-01,a
DMWN,9,1981-01-01,a
FZLN,62.6,1981-01-01,a
FZLR,-1.9,1981-01-01,a
FZLT,17.8,1981-01-01,a
FZLX,13.7,1981-01-01,a
LNNK,31.9,1981-01-01,a
LNNL,30.9,1981-01-01,a
LOJE,7.8,1981-01-01,a
DIX4,74.4,1982-01-01,a
DMWN,4.1,1982-01-01,a
FZLN,60.4,1982-01-01,a
FZLR,-3.5,1982-01-01,a
FZLT,19.3,1982-01-01,a
FZLX,8.7,1982-01-01,a
LNNK,33.4,1982-01-01,a
LNNL,32.1,1982-01-01,a
LOJE,4.6,1982-01-01,a
DIX4,75.7,1983-01-01,a
DJ4J,1.8,1983-01-01,a
DMWN,3.1,1983-01-01,a
FZLN,58.4,1983-01-01,a
FZLR,-3.3,1983-01-01,a
FZLT,20.9,1983-01-01,a
FZLX,8.2,1983-01-01,a
LNNK,34.4,1983-01-01,a
LNNL,33.1,1983-01-01,a
LOJE,3.1,1983-01-01,a
DIX4,78.5,1984-01-01,a
DJ4J,3.7,1984-01-01,a
DMWN,5.6,1984-01-01,a
FZLN,58.2,1984-01-01,a
FZLR,-0.4,1984-01-01,a
FZLT,21.8,1984-01-01,a
FZLX,4.5,1984-01-01,a
LNNK,36.3,1984-01-01,a
LNNL,35,1984-01-01,a
LOJE,5.6,1984-01-01,a
DIX4,82.8,1985-01-01,a
DJ4J,5.5,1985-01-01,a
DMWN,3.8,1985-01-01,a
FZLN,57,1985-01-01,a
FZLR,-2.1,1985-01-01,a
FZLT,23.2,1985-01-01,a
FZLX,6.2,1985-01-01,a
LNNK,38.2,1985-01-01,a
LNNL,36.3,1985-01-01,a
LOJE,5.3,1985-01-01,a
DIX4,86.1,1986-01-01,a
DJ4J,3.9,1986-01-01,a
DMWN,5.7,1986-01-01,a
FZLN,57.6,1986-01-01,a
FZLR,1.1,1986-01-01,a
FZLT,25,1986-01-01,a
FZLX,7.9,1986-01-01,a
LNNK,40.3,1986-01-01,a
LNNL,38.4,1986-01-01,a
LOJE,5.3,1986-01-01,a
DIX4,88.4,1987-01-01,a
DJ4J,2.7,1987-01-01,a
DMWN,2.2,1987-01-01,a
FZLN,55.6,1987-01-01,a
FZLR,-3.4,1987-01-01,a
FZLT,26.3,1987-01-01,a
FZLX,5.1,1987-01-01,a
LNNK,41.4,1987-01-01,a
LNNL,39.2,1987-01-01,a
LOJE,2.9,1987-01-01,a
DIX4,91,1988-01-01,a
DJ4J,2.9,1988-01-01,a
DMWN,5.9,1988-01-01,a
FZLN,55.2,1988-01-01,a
FZLR,-0.7,1988-01-01,a
FZLT,28.2,1988-01-01,a
FZLX,7.2,1988-01-01,a
LNNK,44.2,1988-01-01,a
LNNL,41.6,1988-01-01,a
LOJE,6.6,1988-01-01,a
DIX4,95.5,1989-01-01,a
