code,name,unit,preunit
A29P,CG: Other miscellaneous current transfers D.759u: CPSA,NA,NA
A4FK,ESA:PC:LIFLOW:Currency and deposits,NA,NA
A4VR,Non-financial corporations sector (S11): Currency and deposits (F.2): Flow: Liability: Current price: £m: Not seasonally adjusted,NA,NA
A4VS,Non-financial corporations sector (S11): Other deposits (F.29): Flow: Liability: Current price: £million: Not seasonally adjusted,NA,NA
A99R,Households (S.14): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: NSA,NA,NA
AA6H,BoP: current account balance as per cent of GDP,NA,NA
AA7T,Households (S.14): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: SA,NA,NA
AA7W,NPISH (S.15): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: NSA,NA,NA
AAA3,NPISH (S.15): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: SA,NA,NA
AAA4,Households (S.14): Gross fixed capital formation (P.51g): Assets: Current price: £m: NSA,NA,NA
AARB,BoP: FA: Liabs: General Govt.: Overseas holdings of Treasury bills: CP NSA:£m,m,£
AASD,BoP: FA: Liabs: Overseas sector finance : notes & coin: CP NSA:£m,m,£
ABJQ,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,m,£
ABJR,Household final consumption expenditure :National concept CVM SA - £m,m,£
ABKW,UK: Total Final Consumption Expenditure: CP NSA,NA,NA
ABKY,Total Final Consumption Expenditure: CP SA,NA,NA
ABMD,Total gross final expenditure (unaligned) - P.3+P.5+P.6 : CP NSA £m,m,£
ABME,Total gross final expenditure (unaligned) - P.3+P.5+P.6:CVM NSA £m,m,£
ABMF,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,m,£
ABMG,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,m,£
ABMI,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,m,£
ABML,Gross Value Added (Average) at basic prices: CP SA £m,m,£
ABMM,Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,m,£
ABMP,Gross Capital Formation: Changes in Inventories: CP NSA £m,m,£
ABMQ,Changes in Inventories CVM NSA £m,m,£
ABMX,UK Gross National Income: Current price: £ million: Not seasonally adjusted,NA,NA
ABMZ,Gross National Income: Current price: Seasonally adjusted £m,m,£
ABNF,"UK (S.1): Operating Surplus, gross (B.2g): Current price: £million: Not seasonally adjusted",NA,NA
ABNG,"UK (S.1): Operating Surplus, gross (B.2g): Current price: £million: Seasonally adjusted",NA,NA
ABNU,Final Consumption Expenditure of NPISHs: CVM NSA £m,m,£
ABNV,NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: NSA,m,£
ABPB,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: NSA,m,£
ABPF,Household final consumption expenditure :National concept CVM NAYear NSA £m,m,£
ABQI,Household final consumption expenditure: Domestic concept CP NSA  £m,NA,NA
ABQJ,Household final consumption expenditure: Domestic concept CVM NAYear NSA £m,NA,NA
ABRE,Households (S.14): Actual individual consumption (P.41): Uses: Current price: £m: NSA,NA,NA
ABRF,Households (S.14): Actual individual consumption (P.41): Uses: Current price: £m: SA,NA,NA
ABTE,Household final consumption expenditure: Net tourist expenditure CP NSA £m,NA,NA
ABTF,Household final consumption expenditure: Net tourist expenditure CP SA £m,m,£
ABTG,Household final consumption expenditure: Net tourist expenditure CVM NAYear NSA £m,NA,NA
ABTH,Household final consumption expenditure :Net tourist expenditure CVM SA £m,£m,NA
ABV7,Households (S.14): Gross fixed capital formation (P.51g): Assets: Current price: £m: SA,NA,NA
ABV8,NPISH (S.15): Gross fixed capital formation (P.51g): Assets: Current price: £m: NSA,NA,NA
ABZI,NPISH (S.15): Gross fixed capital formation (P.51g): Assets: Current price: £m: SA,NA,NA
ABZV,01 Food and non-alcoholic beverages CP NSA £m,NA,NA
ACBB,"NPISH (S.15): Capital taxes, payable (D.91p): Liabilities: Current price: £m: NSA",NA,NA
ACBD,"NPISH (S.15): Capital taxes, payable (D.91p): Liabilities: Current price: £m: SA",NA,NA
ACBE,"NPISH (S.15): Other capital transfers, payable (D.99p): Liabilities: Current price: £m: NSA",NA,NA
ACBF,"NPISH (S.15): Other capital transfers, payable (D.99p): Liabilities: Current price: £m: SA",NA,NA
ACQJ,BoP IIP PI Liabilities level CG Treasury bills outstanding NSA £m,m,£
ADAK,LG: Current expenditure: Subsidies: £m CPNSA,m,£
ADAL,Local Govt : Uses: Social assistance benefits in cash CP NSA,NA,NA
ADBF,Local Govt : Uses: Social assistance benefits in cash CP SA,NA,NA
ADFL,"""02 Alcoholic beverages, tobacco & narcotics CP NSA £m""",NA,NA
ADFP,03 Clothing and footwear CP NSA £m,NA,NA
ADFS,04 Housing; water; electricity; gas and other fuels CP NSA £m,NA,NA
ADFY,05 Furnishings; household equipment and routine maintenance of the house CP NSA £m,NA,NA
ADGP,06 Health CP NSA £m,NA,NA
ADGT,07 Transport CP NSA £m,NA,NA
ADGX,08 Communication CP NSA £m,NA,NA
ADGY,09 Recreation and culture CP NSA £m,NA,NA
ADIE,10 Education CP NSA £m,NA,NA
ADIF,11 Restaurants and hotels CP NSA £m,NA,NA
ADII,12 Miscellaneous goods and services CP NSA £m,NA,NA
ADIP,01 Food and non-alcoholic beverages CVM NAYear NSA £m,NA,NA
ADIS,"""02 Alcoholic beverages, tobacco & narcotics CVM NAYear NSA £m""",NA,NA
ADIV,Households (S.14): Sector share of gross national income: Per cent: £m: CP: NSA,NA,NA
ADIW,03 Clothing and footwear CVM NAYear NSA £m,NA,NA
ADIZ,04 Housing; water; electricity; gas and other fuels CVM NAYear NSA £m,NA,NA
ADJF,05 Furnishings;household equipment & routine maintenance of the house CVM NAYear £m,NA,NA
ADJM,06 Health CVM NAYear NSA £m,NA,NA
ADJQ,07 Transport CVM NAYear NSA £m,NA,NA
ADJU,08 Communication CVM NAYear NSA £m,NA,NA
ADJV,09 Recreation and culture CVM NAYear NSA £m,NA,NA
ADMJ,10 Education CVM NAYear NSA £m,NA,NA
ADMK,11 Restaurants and hotels CVM NAYear NSA £m,NA,NA
ADMN,12 Miscellaneous goods and services CVM NAYear NSA £m,NA,NA
ADMX,Households (S.14): Sector share of gross national income: Per cent: £m: CP: SA,NA,NA
ADSY,Non-profit institutions serving households (S.15): Sector share of gross national income: Per cent: £m: CP: NSA,NA,NA
ADTI,Non-profit institutions serving households (S.15): Sector share of gross national income: Per cent: £m: CP: SA,NA,NA
AE7P,Households (S.14): Total interest before FISIM allocation (D.41g) Uses: Current price: £m: NSA,NA,NA
AIBR,I&C companies : capital transfers total receipts: investment grants:D.92:CP NSA,NA,NA
AING,BoP: FA: Liabs: Overseas monetary authorities portfolio investment in UK BGS,NA,NA
AIOP,BoP Inc OI Total Credits NSA £m,m,£
APME,BoP IIP OI Liabilities level CG total Notes and Coin NSA £m,m,£
