code,name,unit,preunit
AGLX,Claimant Count : K02000001 UK : People : All ages : Computerised claims only : SA : Thousands,000's,NA
AGLZ,Claimant Count : K02000001 UK : People : All ages : Up to 6 months : SA : Thousands,000's,NA
AGMA,Claimant Count : K02000001 UK : Men : 25-49 yrs : Computerised claims only : SA : Thousands,000's,NA
AGMC,Claimant Count : K02000001 UK : People : All ages : Over 6 and up to 12 months : SA : Thousands,000's,NA
AGMD,Claimant Count : K02000001 UK : People : All ages : Over 12 Months : SA : Thousands,000's,NA
AGMY,Claimant Count : K02000001 UK : People : All ages : Percentage Over 12 Months : SA : (%),%,NA
AGMZ,Claimant Count : K02000001 UK : People : All ages : Over 24 Months  : SA : Thousands,000's,NA
AGNA,Claimant Count : K02000001 UK : People : 18-24 yrs : Computerised claims only : SA : Thousands,000's,NA
AGNB,Claimant Count : K02000001 UK : People : 18-24 yrs : Up to 6 months : SA : Thousands,000's,NA
AGNC,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 6 and up to 12 months : SA : Thousands,000's,NA
AGND,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 12 Months : SA : Thousands,000's,NA
AGNE,Claimant Count : K02000001 UK : People : 18-24 yrs : Percentage Over 12 Months : SA : (%),%,NA
AGNF,Claimant Count : K02000001 UK : People : 18-24 yrs : Over 24 Months  : SA : Thousands,000's,NA
AGNG,Claimant Count : K02000001 UK : Men : All ages  : Computerised claims only : SA : Thousands,000's,NA
AGXK,Claimant Count : K02000001 UK : Men : All ages  : Up to 6 months : SA : Thousands,000's,NA
ALY5,UK Vacancies by size of enterprise - 1-9 employed (thousands),NA,NA
ALY6,UK Vacancies by size of enterprise - 10-49 employed (thousands),NA,NA
ALY7,UK Vacancies by size of enterprise - 50-249 employed (thousands),NA,NA
ALY8,UK Vacancies by size of enterprise - 250-2499 employed (thousands),NA,NA
ALY9,UK Vacancies by size of enterprise - 2500+ employed (thousands),NA,NA
AP2Y,UK Vacancies (thousands) - Total,NA,NA
AP2Z,UK Job Vacancies ratio per 100 emp jobs - Total,NA,NA
BCJA,Claimant Count : K02000001 UK : People : NSA : Thousands,NA,NA
BCJB,Claimant Count : K02000001 UK : People : NSA : Percentage (%),%,NA
BCJD,Claimant Count : K02000001 UK : People : SA : Thousands,NA,NA
BCJE,Claimant Count : K02000001 UK : People : SA : Percentage (%),%,NA
BCJG,Claimant Count : K03000001 GB : People : NSA : Thousands,NA,NA
BCJH,Claimant Count : K03000001 GB : People : NSA : Percentage (%),%,NA
BCJI,Claimant Count : K03000001 GB : Men : NSA : Thousands,NA,NA
BCJJ,Claimant Count : K03000001 GB : Women : NSA : Thousands,NA,NA
BCKB,Claimant Count : E12000003 Yorkshire and The Humber : People : NSA : Thousands,NA,NA
BCKC,Claimant Count : E12000004 East Midlands : People : NSA : Thousands,NA,NA
BCKF,Claimant Count : E12000009 South West  : People : NSA : Thousands,NA,NA
BCKG,Claimant Count : E12000005 West Midlands : People : NSA : Thousands,NA,NA
BCKI,Claimant Count : W92000004 Wales  : People : NSA : Thousands,NA,NA
BCKJ,Claimant Count : S92000003 Scotland : People : NSA : Thousands,NA,NA
BCKK,Claimant Count : N92000002 Northern Ireland : People : NSA : Thousands,NA,NA
DPAA,Claimant Count : K02000001 UK : Men : NSA : Thousands,NA,NA
DPAB,Claimant Count : K02000001 UK : Women : NSA : Thousands,NA,NA
DPAC,Claimant Count : K02000001 UK : Men : NSA : Percentage (%),%,NA
DPAD,Claimant Count : K02000001 UK : Women : NSA : Percentage (%),%,NA
DPAE,Claimant Count : K02000001 UK : Men : SA : Thousands,NA,NA
DPAF,Claimant Count : K02000001 UK : Women : SA : Thousands,NA,NA
DPAG,Claimant Count : K03000001 GB : People : SA : Thousands,NA,NA
DPAH,Claimant Count : K02000001 UK : Men : SA : Percentage (%),%,NA
DPAI,Claimant Count : K02000001 UK : Women : SA : Percentage (%),%,NA
DPAJ,Claimant Count : K03000001 GB : People : SA : Percentage (%),%,NA
DPAM,Claimant Count : E12000003 Yorkshire and The Humber : People : NSA : Percentage (%),%,NA
DPAN,Claimant Count : E12000004 East Midlands : People : NSA : Percentage (%),%,NA
DPAQ,Claimant Count : E12000009 South West  : People : NSA : Percentage (%),%,NA
DPAR,Claimant Count : E12000005 West Midlands : People : NSA : Percentage (%),%,NA
DPAT,Claimant Count : W92000004 Wales  : People : NSA : Percentage (%),%,NA
DPAU,Claimant Count : S92000003 Scotland : People : NSA : Percentage (%),%,NA
DPAV,Claimant Count : N92000002 Northern Ireland : People : NSA : Percentage (%),%,NA
DPAX,Claimant Count : E12000003 Yorkshire and The Humber : People : SA : Thousands,NA,NA
DPAY,Claimant Count : E12000004 East Midlands : People : SA : Thousands,NA,NA
DPBB,Claimant Count : E12000009 South West  : People : SA : Thousands,NA,NA
DPBC,Claimant Count : E12000005 West Midlands : People : SA : Thousands,NA,NA
DPBE,Claimant Count : W92000004 Wales  : People : SA : Thousands,NA,NA
DPBF,Claimant Count : S92000003 Scotland : People : SA : Thousands,NA,NA
DPBG,Claimant Count : N92000002 Northern Ireland : People : SA : Thousands,NA,NA
DPBI,Claimant Count : E12000003 Yorkshire and The Humber : People : SA : Percentage (%),%,NA
DPBJ,Claimant Count : E12000004 East Midlands : People : SA : Percentage (%),%,NA
DPBM,Claimant Count : E12000009 South West  : People : SA : Percentage (%),%,NA
DPBN,Claimant Count : E12000005 West Midlands : People : SA : Percentage (%),%,NA
DPBP,Claimant Count : W92000004 Wales  : People : SA : Percentage (%),%,NA
DPBQ,Claimant Count : S92000003 Scotland : People : SA : Percentage (%),%,NA
DPBR,Claimant Count : N92000002 Northern Ireland : People : SA : Percentage (%),%,NA
DPCF,Claimant Count : E12000001 North East : People : NSA : Thousands,NA,NA
DPCI,Claimant Count : E12000006 East : People : NSA : Thousands,NA,NA
DPCJ,Claimant Count : E12000007 London : People : NSA : Thousands,NA,NA
DPCK,Claimant Count : E12000008 South East : People : NSA : Thousands,NA,NA
DPDA,Claimant Count : E12000001 North East : People : NSA : Percentage (%),%,NA
DPDD,Claimant Count : E12000006 East : People : NSA : Percentage (%),%,NA
DPDE,Claimant Count : E12000007 London : People : NSA : Percentage (%),%,NA
DPDF,Claimant Count : E12000008 South East : People : NSA : Percentage (%),%,NA
DPDG,Claimant Count : E12000001 North East : People : SA : Thousands,NA,NA
DPDJ,Claimant Count : E12000006 East : People : SA : Thousands,NA,NA
DPDK,Claimant Count : E12000007 London : People : SA : Thousands,NA,NA
DPDL,Claimant Count : E12000008 South East : People : SA : Thousands,NA,NA
DPDM,Claimant Count : E12000001 North East : People : SA : Percentage (%),%,NA
DPDP,Claimant Count : E12000006 East : People : SA : Percentage (%),%,NA
DPDQ,Claimant Count : E12000007 London : People : SA : Percentage (%),%,NA
DPDR,Claimant Count : E12000008 South East : People : SA : Percentage (%),%,NA
ELNP,Claimant Count : K02000001 UK : Men : All ages  : Over 6 and up to 12 months : SA : Thousands,000's,NA
ELON,Claimant Count : K02000001 UK : Men : All ages  : Over 12 Months : SA : Thousands,000's,NA
GBHG,Claimant Count : K02000001 UK : Men : All ages  : Percentage Over 12 Months : SA : (%),%,NA
GEYU,Claimant Count : K02000001 UK : Women : 18-24 yrs : Over 24 Months  : NSA : Thousands,NA,NA
GEYV,Claimant Count : K02000001 UK : People : All Ages : Computerised claims only : NSA : Thousands,NA,NA
GEYW,Claimant Count : K02000001 UK : People : All Ages : Up to 6 months : NSA : Thousands,NA,NA
GEYX,Claimant Count : K02000001 UK : People : All Ages : Over 6 and up to 12 months : NSA : Thousands,NA,NA
GEYY,Claimant Count : K02000001 UK : People : All Ages : Over 12 Months : NSA : Thousands,NA,NA
GEYZ,Claimant Count : K02000001 UK : People : All Ages : Over 24 Months  : NSA : Thousands,NA,NA
GEZA,Claimant Count : K02000001 UK : People : 18-24 yrs : Computerised claims only : NSA : Thousands,NA,NA
